I
1150 Version - data cycle 1911, build 20250921, metadata MSAXP1150. FMS
 3   MCG PA PAMC M 090 000  0 055 000  0 083 000  0 332 000  0 009 000  0
 3   MDO PA PAMD M 180 000  0 015 000  0
11 PIVIY PA PAMD M 180 000  0 014 000  0
11 VIBBU PA PAMD M 180 000  0 014 000  0
11 HILPA PA PAMH M 180 000  0 048 000  0
11 KISLE PA PAMH M 180 000  0 048 000  0
10  RW18 PA PAML M 180 000  0 058 000  0
10  RW36 PA PAML M 180 000  0 058 000  0
10  RW07 PA PAMR M 180 000  0 091 000  0
10 RW07L PA PANC M 180 000  0 089 000  0
10 RW07R PA PANC M 180 000  0 088 000  0
10  RW15 PA PANC M 180 000  0 087 000  0
10  RW33 PA PANC M 180 000  0 088 000  0
 3   TED PA PANC M 001 000  0 018 000  0 242 000  0 202 000  0 100 000  0
 2   ANI PA PANI M 180 000  0 048 000  0
10  RW11 PA PANI M 180 000  0 048 000  0
10  RW29 PA PANI M 180 000  0 049 000  0
11 IYAYA PA PANO M 180 000  0 064 000  0
 3   OME PA PAOM M 070 000  0 048 000  0 140 000  0 202 000  0
 3   ORT PA PAOR M 180 000  0 076 000  0
10  RW23 PA PAOR M 180 000  0 076 000  0
 3   OTZ PA PAOT M 090 000  0 032 000  0 082 000  0 002 000  0 009 000  0
 3   OTZ PA PAOT M 090 000  0 032 000  0 082 000  0 002 000  0 009 000  0
 3   OTZ PA PAOT M 090 000  0 033 000  0 082 000  0 012 000  0 009 000  0
10  RW08 PA PAOU M 180 000  0 057 000  0
10  RW26 PA PAOU M 180 000  0 057 000  0
11 JEJZO PA PAPB M 180 000  0 021 000  0
 2   SRI PA PAPB M 180 000  0 021 000  0
11 GEYED PA PAPE M 180 000  0 095 000  0
11 JOHBU PA PAPG M 180 000  0 110 000  0
 3   LVD PA PAPG M 045 000  0 040 000  0 353 000  0 182 000  0 144 000  0
 2   PDN PA PAPH M 045 000  0 014 000  0 340 000  0 212 000  0
11 ZUDAL PA PAPH M 180 000  0 057 000  0
10  RW02 PA PAPK M 180 000  0 028 000  0
10  RW20 PA PAPK M 180 000  0 028 000  0
10  RW14 PA PAPM M 180 000  0 039 000  0
10  RW07 PA PAPN M 180 000  0 047 000  0
10  RW25 PA PAPN M 180 000  0 047 000  0
10  RW01 PA PAPO M 180 000  0 033 000  0
10  RW19 PA PAPO M 180 000  0 033 000  0
10  RW05 PA PAQT M 180 000  0 019 000  0
10  RW23 PA PAQT M 180 000  0 081 000  0
11 DEGEC PA PARC M 180 000  0 078 000  0
11 HONIL PA PARC M 180 000  0 078 000  0
 3   SCC PA PASC M 180 000  0 022 000  0
 2   HBT PA PASD M 180 000  0 051 000  0
11 ORPIE PA PASD M 180 000  0 052 000  0
 3   BKA PA PASI M 090 000  0 066 000  0 000 000  0 172 000  0
11 WEGWI PA PASI M 180 000  0 066 000  0
 2   SMA PA PASM M 180 000  0 029 000  0
 2   SPY PA PASN M 180 000  0 019 000  0
 3   ENA PA PASX M 010 000  0 022 000  0 100 000  0 352 000  0
 2   OLT PA PASX M 034 000  0 019 000  0 140 000  0 032 000  0
 3   TAL PA PATA M 180 000  0 050 000  0
10  RW07 PA PATE M 180 000  0 058 000  0
11 FEVKU PA PATG M 180 000  0 045 000  0
11 UJXUW PA PATG M 180 000  0 045 000  0
10  RW01 PA PATK M 180 000  0 079 000  0
10  RW19 PA PATK M 180 000  0 079 000  0
 3   TKA PA PATK M 180 000  0 079 000  0
11 AGSIH PA PAUN M 180 000  0 044 000  0
11 DEYZI PA PAUN M 180 000  0 044 000  0
 3   UNK PA PAUN M 180 000  0 044 000  0
10  RW09 PA PAUT M 180 000  0 055 000  0
10  RW27 PA PAUT M 180 000  0 055 000  0
11 UGWIX PA PAUT M 180 000  0 055 000  0
11 CIMUD PA PAVC M 180 000  0 095 000  0
11 ECAXE PA PAWD M 180 000  0 076 000  0
11 HITLI PA PAWG M 180 000  0 092 000  0
 3   LVD PA PAWG M 120 000  0 078 000  0 001 000  0 122 000  0
10  RW01 PA PAWN M 180 000  0 048 000  0
10  RW19 PA PAWN M 180 000  0 048 000  0
10  RW04 PA PAWS M 180 000  0 093 000  0
10  RW22 PA PAWS M 180 000  0 093 000  0
 3   YAK PA PAYA M 285 000  0 020 000  0 052 000  0 032 000  0
 3   YAK PA PAYA M 105 000  0 075 000  0 131 000  0 202 000  0
10  RW03 PF PFAK M 180 000  0 035 000  0
10  RW21 PF PFAK M 180 000  0 036 000  0
10  RW02 PF PFKO M 180 000  0 031 000  0
10  RW20 PF PFKO M 180 000  0 031 000  0
10  RW07 PF PFTO M 180 000  0 087 000  0
10  RW25 PF PFTO M 180 000  0 087 000  0
11 LOGVY TI TIST M 180 000  0 028 000  0
10  RW10 TI TISX M 180 000  0 024 000  0
 2    ST TI TISX M 180 000  0 024 000  0
 3   BQN TJ TJBQ M 090 000  0 020 000  0 340 000  0 162 000  0
10  RW08 TJ TJBQ M 180 000  0 049 000  0
10  RW09 TJ TJIG M 180 000  0 051 000  0
10  RW09 TJ TJMZ M 180 000  0 160 000  0
11 CUVOP TJ TJPS M 180 000  0 160 000  0
11 HOVIP TJ TJPS M 180 000  0 056 000  0
10  RW08 TJ TJSJ M 180 000  0 051 000  0
10  RW10 TJ TJSJ M 180 000  0 051 000  0
10  RW26 TJ TJSJ M 180 000  0 051 000  0
10  RW28 TJ TJSJ M 180 000  0 051 000  0
 2    SJ TJ TJSJ M 095 000  0 028 000  0 030 000  0 182 000  0
 3   SJU TJ TJSJ M 100 000  0 022 000  0 081 000  0 152 000  0
11 MUNGE TJ TJVQ M 180 000  0 048 000  0
10  RW09 PG PGRO M 180 000  0 029 000  0
10  RW27 PG PGRO M 180 000  0 029 000  0
10  RW07 PG PGSN M 180 000  0 028 000  0
10  RW25 PG PGSN M 180 000  0 028 000  0
