STAR:010,1,CLOWD1,BLH,BLH,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,CLOWD1,BLH,DECAS,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,2780,0374, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,CLOWD1,BLH,UBABE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,2780,0153, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,CLOWD1,BLH,CLOWD,K2,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,2520,0099, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,CLOWD1,DECAS,DECAS,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,CLOWD1,DECAS,UBABE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,2780,0153, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,CLOWD1,DECAS,CLOWD,K2,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,2520,0099, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,CLOWD1,EED,EED,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,CLOWD1,EED,UBABE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,2160,0810, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,CLOWD1,EED,CLOWD,K2,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,2520,0099, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,CLOWD1,GFS,GFS,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,CLOWD1,GFS,ZELMA,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1850,0222, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,CLOWD1,GFS,JOTNU,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1850,0291, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
