SID:010,4,BERYY5,RW06, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0638,    ,+,01120,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BERYY5,RW06, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0638,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BERYY5,RW06,BERYY,K3,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BERYY5,RW11, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1232,    ,+,01120,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BERYY5,RW11,LUUBE,K3,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BERYY5,RW11,DAFUS,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BERYY5,RW11,GEJAY,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,BERYY5,RW11,BERYY,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BERYY5,RW12B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1232,    ,+,01120,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BERYY5,RW12B,HEFNR,K3,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BERYY5,RW12B,DAFUS,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BERYY5,RW12B,GEJAY,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,BERYY5,RW12B,BERYY,K3,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BERYY5,RW24, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2438,    ,+,01120,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BERYY5,RW24, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,2438,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BERYY5,RW24,BERYY,K3,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BERYY5,RW29, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3032,    ,+,01120,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BERYY5,RW29,HAGEE,K3,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BERYY5,RW29,WAARN,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
