APPCH:010,A,I13,HEZ,HEZ,K7,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I13,HEZ,ZUTKI,K7,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I13,HEZ,ZUTKI,K7,P,C,EE A,R,   ,PI, ,IHEZ,K7,P,I,      ,3163,0062,2713,0100,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I13,NIFSO,NIFSO,K7,P,C,E  A, ,   ,IF, ,HEZ,K7,D, ,      ,0440,0114,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I13,NIFSO,CASDU,K4,P,C,EE B,L,   ,AF, ,HEZ,K7,D, ,      ,3127,0114,0440,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I13,NIFTE,NIFTE,K4,E,A,E  A, ,   ,IF, ,HEZ,K7,D, ,      ,2480,0114,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I13,NIFTE,CASDU,K4,P,C,EE B,R,   ,AF, ,HEZ,K7,D, ,      ,3127,0114,2480,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I13, ,CASDU,K4,P,C,E  I, ,   ,IF, ,IHEZ,K7,P,I,      ,3163,0123,    ,    ,J,01900,01900,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I13, ,ZUTKI,K7,P,C,E  F, ,   ,CF, ,IHEZ,K7,P,I,      ,3163,0062,1360,0061,H,01900,01900,     , ,   ,-300,   ,HEZ,K7,D, ,A,0,N,S;
APPCH:030,I,I13, ,RW13,K7,P,G,GY M, ,   ,CF, ,IHEZ,K7,P,I,      ,3163,0013,1360,0050, ,00316,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I13, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1363,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I13, ,HEZ,K7,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I13, ,HEZ,K7,D, ,VE  ,R,   ,HM, , , , , ,      ,    ,    ,3130,T010,+,02000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,L13,HEZ,HEZ,K7,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L13,HEZ,ZUTKI,K7,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,L13,HEZ,ZUTKI,K7,P,C,EE A,R,   ,PI, ,IHEZ,K7,P,I,      ,3163,0062,2713,0100,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,L13,NIFSO,NIFSO,K7,P,C,E  A, ,   ,IF, ,HEZ,K7,D, ,      ,0440,0114,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L13,NIFSO,CASDU,K4,P,C,EE B,L,   ,AF, ,HEZ,K7,D, ,      ,3127,0114,0440,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,L13,NIFTE,NIFTE,K4,E,A,E  A, ,   ,IF, ,HEZ,K7,D, ,      ,2480,0114,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L13,NIFTE,CASDU,K4,P,C,EE B,R,   ,AF, ,HEZ,K7,D, ,      ,3127,0114,2480,    ,+,01900,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,L,L13, ,CASDU,K4,P,C,E  I, ,   ,IF, ,IHEZ,K7,P,I,      ,3163,0123,    ,    ,+,01900,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,L,L13, ,ZUTKI,K7,P,C,E  F, ,   ,CF, ,IHEZ,K7,P,I,      ,3163,0062,1360,0061,+,01900,     ,     , ,   ,    ,   ,HEZ,K7,D, ,A,0,N,S;
APPCH:030,L,L13, ,RW13,K7,P,G,GY M, ,   ,CF, ,IHEZ,K7,P,I,      ,3163,0013,1360,0050, ,00316,     ,     , ,   ,-301,   , , , , , ,0,N,S;
APPCH:040,L,L13, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1363,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,L,L13, ,HEZ,K7,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,L,L13, ,HEZ,K7,D, ,VE  ,R,   ,HM, , , , , ,      ,    ,    ,3130,T010,+,02000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
