APPCH:010,A,S11,FRISY,FRISY,K2,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,3,N,S;
APPCH:020,A,S11,FRISY,DMJCH,K2,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,0980,0221,+,09000,     ,     , ,   ,    ,   , , , , , ,3,N,S;
APPCH:010,A,S11,INW,INW,K2,D, ,VE A,L,   ,PI, ,INW,K2,D, ,      ,0000,0000,3230,0100,+,07000,     ,18000, ,   ,    ,   , , , , , ,3,N,S;
APPCH:010,A,S11,IZSAH,IZSAH,K2,P,C,E  A, ,   ,IF, ,INW,K2,D, ,      ,1950,0100,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,3,N,S;
APPCH:020,A,S11,IZSAH,DMJCH,K2,P,C,EE  ,R,   ,AF, ,INW,K2,D, ,      ,2780,0100,1950,    ,+,08100,     ,     , ,   ,    ,   , , , , , ,3,N,S;
APPCH:010,S,S11, ,DMJCH,K2,P,C,E  I, ,   ,IF, ,INW,K2,D, ,      ,    ,    ,    ,    ,+,07000,     ,18000, ,   ,    ,   , , , , , ,3,N,S;
APPCH:020,S,S11, ,INW,K2,D, ,V  F, ,   ,CF, ,INW,K2,D, ,      ,0000,0000,0980,0100,+,06200,     ,     , ,   ,    ,   ,INW,K2,D, , ,3,N,S;
APPCH:030,S,S11, ,RW11,K2,P,G,GY M, ,   ,CF, ,INW,K2,D, ,      ,1064,0038,1060,0038, ,05340,     ,     , ,   , 000,   , , , , , ,3,N,S;
APPCH:040,S,S11, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1060,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,3,N,S;
APPCH:050,S,S11, ,INW,K2,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , ,3,N,S;
APPCH:060,S,S11, ,INW,K2,D, ,VE  ,L,   ,HM, , , , , ,      ,    ,    ,0980,T010,+,07000,     ,     , ,   ,    ,   , , , , , ,3,N,S;
RWY:RW04 ,     ,      ,04941,D,    , ,   ;N35005136,W110441636,0000;
RWY:RW11 ,     ,      ,04899,D,    , ,   ;N35014490,W110434036,0000;
RWY:RW22 ,     ,      ,04881,D,    , ,   ;N35012349,W110431237,1262;
RWY:RW29 ,     ,      ,04870,D,    , ,   ;N35011184,W110422979,0344;
