STAR:010,1,ARKOE1,TRM,TRM,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,ARKOE1,TRM,KRATZ,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,2372,0150, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,ARKOE1,TRM,GAZOO,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,2345,0073, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,ARKOE1,TRM,CASIT,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,2345,0112, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,1,ARKOE1,TRM,HAYOO,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,2926,0088, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,1,ARKOE1,TRM,ARKOE,K2,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,2926,0099, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,ARKOE1,ALL,ARKOE,K2,P,C,EE  , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:010,2,MARCH4,RW32,PMD,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,MARCH4,RW32,MAJEK,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1040,0300, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,MARCH4,RW32,HESPE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1040,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,MARCH4,RW32,HITOP,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1040,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,2,MARCH4,RW32,PASKO,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,1520,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,2,MARCH4,RW32,CAJON,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,1520,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,2,MARCH4,RW32,BERDU,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1520,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,2,MARCH4,RW32,HDF,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,1520,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
RWY:RW12 ,     ,      ,01519,D,    , ,   ;N33532493,W117153845,0000;
RWY:RW14 ,     ,      ,01536,R,    , ,   ;N33534715,W117161429,0000;
RWY:RW30 ,     ,      ,01507,D,    , ,   ;N33530355,W117151273,0000;
RWY:RW32 ,     ,      ,01488,I,    , ,   ;N33515398,W117145381,0000;
