APPCH:040,L,L09, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0939,    ,+,01000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,L,L09, , , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,2900,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,L,L09, ,PLUMY,K7,E,A,EY  , ,   ,CF, ,LAL,K7,D, ,      ,3298,0127,3298,0090,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:070,L,L09, ,PLUMY,K7,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2467,T010,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,R05,IPUNE,IPUNE,K7,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R05,IPUNE,ZUXON,K7,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,1388,0050,+,02700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R05,SANOY,SANOY,K7,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R05,SANOY,ZUXON,K7,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,3188,0050,+,02700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R05,ZUXON,ZUXON,K7,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,0488,0050,+,02700,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R05, ,ZUXON,K7,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R05, ,BIYAT,K7,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0488,0061,+,01700,     ,     , ,   ,    ,   , , , , , ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
