APPCH:010,A,I30-Y,ODI,ODI,K3,D, ,V  A, ,   ,FC, ,ODI,K3,D, ,      ,0000,0000,3540,0023,+,03100,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I30-Y,ODI,ALEYU,K3,P,C,EE B, ,   ,CF, ,IONA,K3,P,I,      ,1204,0123,3540,0020,+,03100,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I30-Y, ,ALEYU,K3,P,C,E  I, ,   ,IF, ,IONA,K3,P,I,      ,1204,0123,    ,    ,J,03100,02400,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I30-Y, ,WABNY,K3,P,C,E  F, ,   ,CF, ,IONA,K3,P,I,      ,1204,0063,3000,0060,H,02400,02400,     , ,   ,-300,   ,ODI,K3,D, , ,0,N,S;
APPCH:030,I,I30-Y, ,RW30,K3,P,G,GY M, ,   ,CF, ,IONA,K3,P,I,      ,1204,0010,3000,0053, ,00706,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I30-Y, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3004,    ,+,01800,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I30-Y, ,VUZID,K3,E,A,EY  , ,   ,CF, ,RST,K3,D, ,      ,0560,0356,2360,0050,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I30-Y, ,VUZID,K3,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1170,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,I30-Z,ALEYU,ALEYU,K3,P,C,EE A,R,   ,HF, ,LSE,K5,D, ,      ,3051,0115,3005,0040,+,03500,     ,18000, ,   ,    ,   , , , , , ,0,P,S;
APPCH:010,I,I30-Z, ,ALEYU,K3,P,C,E  I, ,   ,IF, ,IONA,K3,P,I,      ,1204,0123,    ,    ,J,03500,02400,18000, ,   ,    ,   , , , , , ,0,P,S;
