SID:010,4,BUNZZ3,RW01B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0107,    ,+,00820,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BUNZZ3,RW01B,LOULU,K6,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BUNZZ3,RW01B,BUNZZ,K6,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,2724,0102, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BUNZZ3,RW19B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1907,    ,+,00820,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BUNZZ3,RW19B,TIICE,K6,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BUNZZ3,RW19B,WHYUU,K6,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,2573,0062, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,BUNZZ3,RW19B,BUNZZ,K6,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,3097,0132, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BUNZZ3,RW30, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3007,    ,+,00820,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,BUNZZ3,RW30,LOULU,K6,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,BUNZZ3,RW30,BUNZZ,K6,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,2724,0102, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,BUNZZ3,RAMAY,BUNZZ,K6,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,BUNZZ3,RAMAY,RAMAY,K6,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,3014,0146, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CLTCH2,RW01B,BUTRZ,K6,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,CLTCH2,RW01B,CLTCH,K6,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CLTCH2,RW19B,BUTRZ,K6,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,CLTCH2,RW19B,CLTCH,K6,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CLTCH2,RW30,BUTRZ,K6,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,CLTCH2,RW30,CLTCH,K6,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,CLTCH2,FLASK,CLTCH,K6,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,CLTCH2,FLASK,KERRK,K6,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
