STAR:010,4,ERNNY5,CHDRR,CHDRR,K5,P,C,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ERNNY5,CHDRR,LYNNI,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ERNNY5,CHDRR,PHRLY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ERNNY5,CHDRR,SWIIS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ERNNY5,CHDRR,ERNNY,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ERNNY5,FAH,FAH,K5,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ERNNY5,FAH,KOHLL,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL180,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ERNNY5,FAH,GURNN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ERNNY5,FAH,CHDRR,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ERNNY5,FAH,LYNNI,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ERNNY5,FAH,PHRLY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ERNNY5,FAH,SWIIS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ERNNY5,FAH,ERNNY,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ERNNY5,FGHRN,FGHRN,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ERNNY5,FGHRN,FAH,K5,D, ,V  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ERNNY5,FGHRN,KOHLL,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL180,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ERNNY5,FGHRN,GURNN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ERNNY5,FGHRN,CHDRR,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ERNNY5,FGHRN,LYNNI,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ERNNY5,FGHRN,PHRLY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ERNNY5,FGHRN,SWIIS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ERNNY5,FGHRN,ERNNY,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ERNNY5,FOLGO,FOLGO,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ERNNY5,FOLGO,FGHRN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ERNNY5,FOLGO,FAH,K5,D, ,V  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ERNNY5,FOLGO,KOHLL,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL180,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ERNNY5,FOLGO,GURNN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ERNNY5,FOLGO,CHDRR,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ERNNY5,FOLGO,LYNNI,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ERNNY5,FOLGO,PHRLY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ERNNY5,FOLGO,SWIIS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,ERNNY5,FOLGO,ERNNY,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ERNNY5,GRB,GRB,K5,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ERNNY5,GRB,FGHRN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ERNNY5,GRB,FAH,K5,D, ,V  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ERNNY5,GRB,KOHLL,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL180,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ERNNY5,GRB,GURNN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ERNNY5,GRB,CHDRR,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ERNNY5,GRB,LYNNI,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ERNNY5,GRB,PHRLY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ERNNY5,GRB,SWIIS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,ERNNY5,GRB,ERNNY,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ERNNY5,KOHLL,KOHLL,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL180,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ERNNY5,KOHLL,GURNN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ERNNY5,KOHLL,CHDRR,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ERNNY5,KOHLL,LYNNI,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ERNNY5,KOHLL,PHRLY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ERNNY5,KOHLL,SWIIS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ERNNY5,KOHLL,ERNNY,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ERNNY5,LGHRN,LGHRN,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ERNNY5,LGHRN,FGHRN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ERNNY5,LGHRN,FAH,K5,D, ,V  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ERNNY5,LGHRN,KOHLL,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,FL180,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ERNNY5,LGHRN,GURNN,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ERNNY5,LGHRN,CHDRR,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ERNNY5,LGHRN,LYNNI,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ERNNY5,LGHRN,PHRLY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ERNNY5,LGHRN,SWIIS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,ERNNY5,LGHRN,ERNNY,K5,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
