STAR:040,4,ENDEE4,MAGOO,ILIAD,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE4,MAGOO,LLVSS,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL230,FL190,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ENDEE4,MAGOO,PEALE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,16000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ENDEE4,MAGOO,TOLCA,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ENDEE4,MAGOO,JILLZ,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ENDEE4,MAGOO,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ENDEE4,OHHMY,OHHMY,K3,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE4,OHHMY,UGGLY,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE4,OHHMY,AGONY,K3,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,ENDEE4,OHHMY,FARCE,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,ENDEE4,OHHMY,CHUMP,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,ENDEE4,OHHMY,HEDOC,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL210,16000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,ENDEE4,OHHMY,PURTY,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL180,14000,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,ENDEE4,OHHMY,OCCHO,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,ENDEE4,OHHMY,KOOKS,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,10000,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,ENDEE4,OHHMY,JILLZ,K5,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,10000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:110,4,ENDEE4,OHHMY,ENDEE,K5,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,07000,06000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,ENDEE4,PHEEB,PHEEB,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,ENDEE4,PHEEB,POOGY,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL270,FL220,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,ENDEE4,PHEEB,NANEE,K5,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,   ,    ,   , , , , , , , , ;
