STAR:010,1,FALCO5,APPEL,APPEL,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,17000,14000,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,FALCO5,APPEL,TIRNE,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,2219,0120,B,13000,12000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,FALCO5,APPEL,BNGAL,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,2232,0229, ,11000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,FALCO5,CABIN,CABIN,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL210,17000,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,FALCO5,CABIN,RELMY,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,2040,0219,B,FL190,12000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,FALCO5,CABIN,SOWAH,PA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,2040,0200,B,15000,12000,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,FALCO5,CABIN,BNGAL,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,2040,0173, ,11000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,FALCO5,EYEGO,EYEGO,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,12000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,FALCO5,EYEGO,BNGAL,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,2501,0179, ,11000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,FALCO5, ,BNGAL,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,11000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,FALCO5, ,UBGEW,PA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,2040,0063, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,3,FALCO5,RW14,UBGEW,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,3,FALCO5,RW14,FALCO,PA,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,1350,0050,B,09000,05000,     , ,   ,    ,   , , , , , , , , ;
STAR:010,3,FALCO5,RW32,UBGEW,PA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,3,FALCO5,RW32,FALCO,PA,P,C,EE H, ,   ,TF, , , , , ,      ,    ,    ,1350,0050, ,09000,     ,     , ,   ,    ,   , , , , , , , , ;
RWY:RW14 ,     ,      ,00534,I,    , ,   ;N64410314,W147070452,0000;
RWY:RW32 ,     ,      ,00548,I,    , ,   ;N64384948,W147050585,0000;
