APPCH:010,A,I27,OBSEW,OBSEW,K5,P,C,EE A,R,   ,HF, ,IPBX,K5,P,I,      ,0939,0139,2739,T010,+,04500,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I27, ,OBSEW,K5,P,C,E  I, ,   ,IF, ,IPBX,K5,P,I,      ,0939,0139,    ,    ,J,04500,03700,18000, ,   ,    ,   , , , , , ,0,P,S;
APPCH:020,I,I27, ,PEAIR,K5,P,C,E  F, ,   ,CF, ,IPBX,K5,P,I,      ,0939,0078,2740,0061,H,03700,03700,     , ,   ,-300,   , , , , , ,0,P,S;
APPCH:030,I,I27, ,RW27,K5,P,G,GY M, ,   ,CF, ,IPBX,K5,P,I,      ,0939,0009,2740,0069, ,01510,     ,     , ,   ,-300,   , , , , , ,0,P,S;
APPCH:040,I,I27, ,CILOM,K5,P,C,EYM , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0,P,S;
APPCH:050,I,I27, ,CILOM,K5,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,0938,0050,+,04500,     ,     , ,   ,    ,   , , , , , ,0,P,S;
APPCH:010,A,L27,OBSEW,OBSEW,K5,P,C,EE A,R,   ,HF, ,IPBX,K5,P,I,      ,0939,0139,2739,T010,+,04500,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,L,L27, ,OBSEW,K5,P,C,E  I, ,   ,IF, ,IPBX,K5,P,I,      ,0939,0139,    ,    ,+,04500,     ,18000, ,   ,    ,   , , , , , ,0,P,S;
APPCH:020,L,L27, ,PEAIR,K5,P,C,E  F, ,   ,CF, ,IPBX,K5,P,I,      ,0939,0078,2740,0061,+,03700,     ,     , ,   ,    ,   , , , , , ,0,P,S;
APPCH:021,L,L27, ,WOTAL,K5,P,C,E S , ,   ,CF, ,IPBX,K5,P,I,      ,0939,0035,2740,0043,+,02320,     ,     , ,   ,-301,   , , , , , ,0,P,S;
APPCH:030,L,L27, ,RW27,K5,P,G,GY M, ,   ,CF, ,IPBX,K5,P,I,      ,0939,0009,2740,0026, ,01510,     ,     , ,   ,-301,   , , , , , ,0,P,S;
APPCH:040,L,L27, ,CILOM,K5,P,C,EYM , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     , ,   ,    ,   , , , , , ,0,P,S;
