APPCH:010,R,R28, ,LRP,K6,D, ,V  D, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,18000, ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R28, ,SEBOY,K6,P,C,E  F, ,031,TF, , , , , ,      ,    ,    ,2700,0071,+,02300,     ,     , ,   ,    ,   ,RW28,K6,P,G, ,B,J,S;
PRDAT:N,          ,N,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R28, ,RW28,K6,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,2738,0058, ,00440,     ,     , ,   ,-305,   , , , , , ,B,J,S;
APPCH:040,R,R28, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2738,    ,+,00858,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R28, ,OSAKE,K6,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R28, ,GRAMO,K6,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,2314,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:070,R,R28, ,GRAMO,K6,E,A,EE  ,L,   ,HM, , , , , ,      ,    ,    ,0968,0040,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,V,V28, ,LRP,K6,D, ,V  D, ,   ,IF, ,LRP,K6,D, ,      ,0000,0000,    ,    ,+,02600,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,V,V28, ,ESAAL,K6,P,C,E  F, ,   ,CF, ,LRP,K6,D, ,      ,2718,0070,2718,0070,+,02600,     ,     , ,   ,    ,   ,LRP,K6,D, , ,0,N,S;
APPCH:030,V,V28, ,RW28,K6,P,G,GY M, ,   ,CF, ,LRP,K6,D, ,      ,2718,0129,2718,0059, ,00440,     ,     , ,   ,-347,   , , , , , ,0,N,S;
APPCH:040,V,V28, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2718,    ,+,02600,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,V,V28, ,GRAMO,K6,E,A,EY  , ,   ,CF, ,RAV,K6,D, ,      ,2044,0364,2044,0069,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,V,V28, ,GRAMO,K6,E,A,EE  ,L,   ,HM, , , , , ,      ,    ,    ,0948,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
RWY:RW10 ,     ,      ,00458,D,    , ,   ;N40053076,W076344471,0300;
RWY:RW28 ,     ,      ,00400,R,    , ,   ;N40053343,W076340691,0000;
