SID:030,6,RAJEE3,AVRRY,ARRDY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,RAJEE3,AVRRY,PEELR,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,RAJEE3,AVRRY,MTBAL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,RAJEE3,AVRRY,AVRRY,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,RAJEE3,DINTY,RAJEE,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,07000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,RAJEE3,DINTY,NIKKL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,RAJEE3,DINTY,SHAYL,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,RAJEE3,DINTY,ARIII,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,RAJEE3,DINTY,LANAA,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,RAJEE3,DINTY,TUDOO,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,6,RAJEE3,DINTY,SXC,K2,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,6,RAJEE3,DINTY,DINTY,P,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,RAJEE3,MALIT,RAJEE,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,07000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,RAJEE3,MALIT,NIKKL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,RAJEE3,MALIT,SHAYL,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,RAJEE3,MALIT,ARIII,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,RAJEE3,MALIT,LANAA,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,RAJEE3,MALIT,TUDOO,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,6,RAJEE3,MALIT,SXC,K2,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,6,RAJEE3,MALIT,MALIT,P,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,RAJEE3,MTBAL,RAJEE,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,07000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,RAJEE3,MTBAL,ELLBO,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,RAJEE3,MTBAL,ARRDY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,13000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,RAJEE3,MTBAL,PEELR,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,RAJEE3,MTBAL,MTBAL,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,RAJEE3,OTAYY,RAJEE,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,07000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,RAJEE3,OTAYY,ELLBO,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,RAJEE3,OTAYY,JUMPA,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
