STAR:020,5,JAIKE3,ALL,ILENE,K6,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,0474,0264, ,13000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,JAIKE3,ALL,WACKI,K6,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,0476,0077, ,11000,     ,     , ,250,    ,   , , , , , , , , ;
STAR:040,5,JAIKE3,ALL,MAZIE,K6,E,A,E  H, ,010,TF, , , , , ,      ,    ,    ,0476,0053, ,     ,     ,     , ,210,    ,   , , , , , , , , ;
STAR:050,5,JAIKE3,ALL,REGLE,K6,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,0590,0070, ,07000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,JAIKE3,ALL,SBJ,K6,D, ,V   , ,010,TF, , , , , ,      ,    ,    ,0591,0160, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,5,JAIKE3,ALL,KTEB,K6,P,A,AE  , ,   ,VM, , , , , ,      ,    ,    ,0591,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,LVZ4,JHW,JHW,K6,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,LVZ4,JHW,HOXIE,K6,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,1155,0600, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,LVZ4,JHW,DMACK,K6,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1155,0143, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,LVZ4,JHW,STENT,K6,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1155,0190, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,1,LVZ4,JHW,LVZ,K6,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,1207,0704, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,LVZ4,ALL,LVZ,K6,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,2,LVZ4,ALL,HARTY,K6,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,1238,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,LVZ4,ALL,MUGZY,K6,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,1253,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,LVZ4,ALL,STW,K6,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,1253,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,MAZIE2,PXT,PXT,K6,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,MAZIE2,PXT,LOUIE,K6,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,13000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,MAZIE2,PXT,GATBY,K6,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
