STAR:030,5,GAILL3,ALL,CENEM,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,GAILL3,ALL,NUMDE,K5,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,GAILL3,ALL,KOSU,K5,P,A,AE  , ,   ,VM, , , , , ,      ,    ,    ,1013,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,GUNNE4,FBC,FBC,K5,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,GUNNE4,FBC,ESSIE,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,GUNNE4,FBC,GUNNE,K5,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,GUNNE4,FWA,FWA,K5,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,GUNNE4,FWA,BRYEN,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,GUNNE4,FWA,CALOB,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,GUNNE4,FWA,GUNNE,K5,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,GUNNE4,VHP,VHP,K5,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,GUNNE4,VHP,JADUB,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,GUNNE4,VHP,ROD,K5,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,GUNNE4,VHP,CALOB,K5,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,1,GUNNE4,VHP,GUNNE,K5,E,A,EE H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,GUNNE4,ALL,GUNNE,K5,E,A,EE H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
APPCH:010,A,I09R,LIMPS,LIMPS,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I09R,LIMPS,OS,K5,P,N,N   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,I09R,LIMPS,OS,K5,P,N,NE A,L,   ,PI, ,APE,K5,D, ,      ,2668,0285,3171,0100,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,I,I09R, ,IKMUJ,K5,P,C,E  I, ,   ,IF, ,IOSU,K5,P,I,      ,2721,0125,    ,    ,J,02700,02700,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,I,I09R, ,FULER,K5,P,C,E  F, ,   ,CF, ,IOSU,K5,P,I,      ,2721,0064,0920,0061,H,02700,02688,     , ,   ,-300,   ,OS,K5,P,N, ,0,N,S;
APPCH:030,I,I09R, ,RW09R,K5,P,G,GY M, ,   ,CF, ,IOSU,K5,P,I,      ,2721,0010,0920,0054, ,00952,     ,     , ,   ,-300,   , , , , , ,0,N,S;
APPCH:040,I,I09R, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0921,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,I,I09R, ,OS,K5,P,N,NY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,I,I09R, ,OS,K5,P,N,NE  ,L,   ,HM, , , , , ,      ,    ,    ,0921,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,L09R,LIMPS,LIMPS,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,L09R,LIMPS,OS,K5,P,N,N   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,L09R,LIMPS,OS,K5,P,N,NE A,L,   ,PI, ,APE,K5,D, ,      ,2668,0285,3171,0100,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,L,L09R, ,IKMUJ,K5,P,C,E  I, ,   ,IF, ,IOSU,K5,P,I,      ,2721,0125,    ,    ,+,02700,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,L,L09R, ,FULER,K5,P,C,E  F, ,   ,CF, ,IOSU,K5,P,I,      ,2721,0064,0920,0061,+,02700,     ,     , ,   ,    ,   ,OS,K5,P,N, ,0,N,S;
APPCH:030,L,L09R, ,RW09R,K5,P,G,GY M, ,   ,CF, ,IOSU,K5,P,I,      ,2721,0010,0920,0054, ,00952,     ,     , ,   ,-307,   , , , , , ,0,N,S;
APPCH:040,L,L09R, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0921,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,L,L09R, ,OS,K5,P,N,NY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,L,L09R, ,OS,K5,P,N,NE  ,L,   ,HM, , , , , ,      ,    ,    ,0921,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,N09R,LIMPS,LIMPS,K5,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,N09R,LIMPS,OS,K5,D,B,N   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:030,A,N09R,LIMPS,OS,K5,D,B,N  A,L,   ,PI, ,ROD,K5,D, ,      ,1130,0409,3177,0100,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:040,A,N09R,LIMPS,OS,K5,D,B,NE  , ,   ,CF, ,ROD,K5,D, ,      ,1130,0409,0927,0060,+,02700,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,N,N09R, ,OS,K5,D,B,N  F, ,   ,IF, ,OS,K5,D,B,      ,0000,0000,    ,    ,+,02700,     ,18000, ,   ,    ,   ,OS,K5,D,B, ,0,N,S;
APPCH:030,N,N09R, ,RW09R,K5,P,G,GY M, ,   ,TF, ,OS,K5,D,B,      ,0927,0054,    ,    , ,00952,     ,     , ,   ,-307,   , , , , , ,0,N,S;
APPCH:040,N,N09R, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0927,    ,+,03100,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:050,N,N09R, ,OS,K5,D,B,NY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03100,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:060,N,N09R, ,OS,K5,D,B,NE  ,L,   ,HM, , , , , ,      ,    ,    ,0921,T010,+,03100,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:010,A,R09R,APE,APE,K5,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R09R,APE,GLYBU,K5,P,C,EY  , ,020,TF, , , , , ,      ,    ,    ,2668,0342,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R09R,APE,GLYBU,K5,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,0919,0040,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R09R,MECAN,MECAN,K5,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R09R,MECAN,GLYBU,K5,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,1025,0086,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R09R, ,GLYBU,K5,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R09R, ,YOPDU,K5,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,0919,0060,+,02600,     ,     , ,   ,    ,   ,RW09R,K5,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R09R, ,RW09R,K5,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,0920,0052, ,00952,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R09R, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0920,    ,+,01105,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R09R, ,KOLNY,K5,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R09R, ,KOLNY,K5,P,C,EE  ,R,020,HM, , , , , ,      ,    ,    ,2722,0040,+,03200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R27L,APE,APE,K5,D, ,V  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R27L,APE,KOLNY,K5,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,2570,0125,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R27L,DIPNE,DIPNE,K5,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R27L,DIPNE,KOLNY,K5,P,C,EY  , ,020,TF, , , , , ,      ,    ,    ,1019,0134,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R27L,DIPNE,KOLNY,K5,P,C,EE A,R,   ,HF, , , , , ,      ,    ,    ,2722,0040,+,03000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R27L, ,KOLNY,K5,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R27L, ,RITOQ,K5,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,2722,0051,+,02500,     ,     , ,   ,    ,   ,RW27L,K5,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R27L, ,HUBIM,K5,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,2722,0033,V,01420,01444,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R27L, ,RW27L,K5,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,2721,0016, ,00934,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R27L, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2721,    ,+,01153,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R27L, ,GLYBU,K5,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,03200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R27L, ,GLYBU,K5,P,C,EE  ,R,020,HM, , , , , ,      ,    ,    ,0919,0040,+,03200,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW05 ,     ,+02416,00903,D,    , ,   ;N40043460,W083044246,0000;
RWY:RW09L,     ,+02420,00904,V,    , ,   ;N40045770,W083044405,0000;
RWY:RW09R,     ,+02410,00901,I,IOSU,1,   ;N40043773,W083045377,0000;
RWY:RW23 ,     ,+02384,00893,D,    , ,   ;N40045781,W083040801,0000;
RWY:RW27L,     ,+02374,00890,R,    , ,   ;N40044025,W083034949,0000;
RWY:RW27R,     ,+02380,00892,V,    , ,   ;N40045921,W083040559,0000;
