SID:010,4,AUTMN5,RW09, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0930,    ,+,00860,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AUTMN5,RW09, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,0930,    ,+,02300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AUTMN5,RW09,SHAAA,K4,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AUTMN5,RW09,AUTMN,K4,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AUTMN5,RW18C, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1800,    ,+,00860,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AUTMN5,RW18C,GADEC,K7,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AUTMN5,RW18C,XANDR,K7,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AUTMN5,RW18C,SHAAA,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AUTMN5,RW18C,AUTMN,K4,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AUTMN5,RW18L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1800,    ,+,00860,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AUTMN5,RW18L,GADEC,K7,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AUTMN5,RW18L,XANDR,K7,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AUTMN5,RW18L,SHAAA,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AUTMN5,RW18L,AUTMN,K4,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AUTMN5,RW18R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1800,    ,+,00860,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AUTMN5,RW18R,HURTN,K7,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AUTMN5,RW18R,SHAAA,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AUTMN5,RW18R,AUTMN,K4,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AUTMN5,RW27, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2730,    ,+,00860,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AUTMN5,RW27, , , , ,    , ,   ,VM, , , , , ,      ,    ,    ,2730,    ,+,02300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AUTMN5,RW27,SHAAA,K4,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AUTMN5,RW27,AUTMN,K4,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AUTMN5,RW36C, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,3600,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AUTMN5,RW36C,BEEAL,K7,P,C,E   , ,   ,CF, ,MHZ,K7,D, ,      ,0021,1623,3245,0051, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AUTMN5,RW36C,PRYMD,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AUTMN5,RW36C,EMAXE,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AUTMN5,RW36C,SHAAA,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,AUTMN5,RW36C,AUTMN,K4,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AUTMN5,RW36L, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,3600,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AUTMN5,RW36L,BEEAL,K7,P,C,E   , ,   ,CF, ,MHZ,K7,D, ,      ,0021,1623,3320,0051, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AUTMN5,RW36L,PRYMD,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AUTMN5,RW36L,EMAXE,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AUTMN5,RW36L,SHAAA,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,AUTMN5,RW36L,AUTMN,K4,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AUTMN5,RW36R, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,3600,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,AUTMN5,RW36R,BEEAL,K7,P,C,E   , ,   ,CF, ,MHZ,K7,D, ,      ,0021,1623,3245,0054, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AUTMN5,RW36R,PRYMD,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AUTMN5,RW36R,EMAXE,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AUTMN5,RW36R,SHAAA,K4,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
