APPCH:010,A,RNV-A,DROPN,DROPN,K6,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNV-A,DROPN,AFLAT,K6,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,1178,0050,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNV-A,TURCO,TURCO,K6,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNV-A,TURCO,AFLAT,K6,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,0165,0073,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNV-A, ,AFLAT,K6,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNV-A, ,OSABE,K6,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,0479,0050,+,02000,     ,     , ,   ,    ,   ,RW05,K6,P,G, ,B,J,C;
APPCH:030,R,RNV-A, ,RW05,K6,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,0479,0047, ,01520,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNV-A, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0479,    ,+,00854,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNV-A, ,TURCO,K6,E,A,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03300,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNV-A, ,TURCO,K6,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,0165,0040,+,03300,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNV-B,HOODE,HOODE,K6,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNV-B,HOODE,KALEC,K6,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,1554,0072,+,03200,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:030,A,RNV-B,HOODE,BUTAY,K6,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,1579,0050,+,02600,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,A,RNV-B,MAZKO,MAZKO,K6,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,A,RNV-B,MAZKO,BUTAY,K6,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,2974,0048,+,02600,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:010,R,RNV-B, ,BUTAY,K6,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02600,     ,18000, ,   ,    ,   , , , , , ,B,J,C;
APPCH:020,R,RNV-B, ,HAKON,K6,P,C,E  F, ,051,TF, , , , , ,      ,    ,    ,2280,0050,+,02000,     ,     , ,   ,    ,   ,RW23,K6,P,G, ,B,J,C;
APPCH:030,R,RNV-B, ,RW23,K6,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,2280,0048, ,01520,     ,     , ,   , 000,   , , , , , ,B,J,C;
APPCH:040,R,RNV-B, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2280,    ,+,00854,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:050,R,RNV-B, ,MAZKO,K6,E,A,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
APPCH:060,R,RNV-B, ,MAZKO,K6,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2974,0040,+,03000,     ,     , ,   ,    ,   , , , , , ,B,J,C;
RWY:RW05 ,     ,      ,00453,R,    , ,   ;N38091259,W078100565,0000;
RWY:RW23 ,     ,      ,00444,R,    , ,   ;N38092709,W078095132,0440;
