SID:020,4,DOHIA,RW12,MM602,VO,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DOHIA,RW12,DOHIA,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DOHIA,RW25, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2510,    ,+,01000,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,4,DOHIA,RW25,MM601,VO,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DOHIA,RW25,DOHIA,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,DOHIA,RW30, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3000,    ,+,01000,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,4,DOHIA,RW30,MM601,VO,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,DOHIA,RW30,DOHIA,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,DOHIA,DOLKI,DOHIA,VO,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,6,DOHIA,DOLKI,MM610,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,DOHIA,DOLKI,RAMDO,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,DOHIA,DOLKI,DAGNI,VO,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,DOHIA,DOLKI,DOLKI,VO,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,DOHIA,DORAM,DOHIA,VO,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,6,DOHIA,DORAM,MM610,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,DOHIA,DORAM,RAMDO,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,DOHIA,DORAM,DAGNI,VO,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,DOHIA,DORAM,DORAM,VO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,DOHIA,KAMGU,DOHIA,VO,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,6,DOHIA,KAMGU,MM611,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,DOHIA,KAMGU,KAMGU,VO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,HALCO,RW07, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0710,    ,+,01000,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,4,HALCO,RW07,MM603,VO,P,C,E   , ,   ,CF, ,MMV,VO,D, ,      ,0176,0072,3430,0060, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,HALCO,RW07,FANER,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,HALCO,RW07,ELPOX,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,HALCO,RW07,HALCO,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,HALCO,RW12, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1200,    ,+,01000,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,4,HALCO,RW12,MM602,VO,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,HALCO,RW12,WISAT,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,HALCO,RW12,MM605,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,HALCO,RW12,MM612,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,HALCO,RW12,HALCO,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,HALCO,RW25, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2510,    ,+,01000,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,4,HALCO,RW25,ELPOX,VO,P,C,E   , ,   ,CF, ,MMV,VO,D, ,      ,2861,0213,2910,0200,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,HALCO,RW25,HALCO,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,HALCO,RW30, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3000,    ,+,01000,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,4,HALCO,RW30,ELPOX,VO,P,C,E   , ,   ,CF, ,MMV,VO,D, ,      ,2861,0213,2820,0200,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,HALCO,RW30,HALCO,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,HALCO,GULAM,HALCO,VO,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,6,HALCO,GULAM,XIVIL,VO,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,HALCO,GULAM,TUPIN,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,HALCO,GULAM,GULAM,VO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,HALCO,XIVIL,HALCO,VO,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,6,HALCO,XIVIL,XIVIL,VO,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,KOLCA,RW07, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0710,    ,+,01000,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:030,4,KOLCA,RW07,KOLCA,VO,P,C,EE  , ,   ,CF, ,MMV,VO,D, ,      ,0412,0242,0350,0210,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,KOLCA,RW12, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1200,    ,+,01000,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,4,KOLCA,RW12,MM602,VO,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,KOLCA,RW12,KOLCA,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,KOLCA,RW25, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2510,    ,+,01000,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,4,KOLCA,RW25,MM601,VO,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,KOLCA,RW25,DOHIA,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,KOLCA,RW25,KOLCA,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,KOLCA,RW30, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3000,    ,+,01000,     ,04000, ,   ,    ,   ,MMV,VO,D, , , , , ;
SID:020,4,KOLCA,RW30,MM601,VO,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,KOLCA,RW30,DOHIA,VO,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,KOLCA,RW30,KOLCA,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL060,     ,     , ,   ,    ,   , , , , , , , , ;
