APPCH:020,A,D27,GOKUL,D094T,VO,P,C,E CA, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D27,GOKUL,D092L,VO,P,C,E CB, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:040,A,D27,GOKUL,FD27,VO,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D27,TTR1,TTR,VO,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D27,TTR1,TTR,VO,D, ,V   , ,   ,FD, ,TTR,VO,D, ,      ,0000,0000,0690,0090,+,02300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D27,TTR1,FD27,VO,P,C,EE  ,R,   ,CF,Y,TTR,VO,D, ,      ,0920,0065,2720,0030,+,02300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D27,TTR2,TTR,VO,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D27,TTR2,TTR,VO,D, ,V   , ,   ,FD, ,TTR,VO,D, ,      ,0000,0000,0810,0090,+,02300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D27,TTR2,FD27,VO,P,C,EE  ,R,   ,CF,Y,TTR,VO,D, ,      ,0920,0065,2720,0030,+,02300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D27, ,FD27,VO,P,C,E  F, ,   ,IF, ,TTR,VO,D, ,      ,0920,0065,    ,    ,+,02300,     ,     , ,   ,    ,   ,TTR,VO,D, , ,0, ,S;
APPCH:030,D,D27, ,MD27,VO,P,C,E  M, ,   ,CF, ,TTR,VO,D, ,      ,0920,0010,2720,0055, ,00568,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D27, ,TTR,VO,D, ,V M , ,   ,CF, ,TTR,VO,D, ,      ,0000,0000,2720,0010, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:045,D,D27, ,TTR,VO,D, ,V   , ,   ,FA, ,TTR,VO,D, ,      ,0000,0000,2720,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D27, ,TTR,VO,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D27, ,TTR,VO,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,0690,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,I27-Z,D220N,D220N,VO,P,C,E CA, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I27-Z,D220N, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0400,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I27-Z,D220N,D097L,VO,P,C,E   ,L,   ,AF, ,TTR,VO,D, ,      ,0970,0120,2200,    ,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I27-Z,D220N, , , , , E  , ,   ,CI, ,ITCY,VO,P,I,      ,    ,    ,2970,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I27-Z,D315N,D315N,VO,P,C,E CA, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I27-Z,D315N, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1350,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I27-Z,D315N,D078L,VO,P,C,E   ,R,   ,AF, ,TTR,VO,D, ,      ,0780,0120,3150,    ,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I27-Z,D315N, , , , , E  , ,   ,CI, ,ITCY,VO,P,I,      ,    ,    ,2370,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I27-Z,GOKUL,GOKUL,VO,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I27-Z,GOKUL,D094T,VO,P,C,E CA, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,03900,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I27-Z,GOKUL, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2970,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I27-Z,GOKUL,CI27Z,VO,P,C,EECB, ,   ,CF, ,ITCY,VO,P,I,      ,0875,0132,2670,0050,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I27-Z,TTR,TTR,VO,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I27-Z,TTR, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0920,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I27-Z,TTR,D087H,VO,P,C,E   , ,   ,CF, ,TTR,VO,D, ,      ,0884,0071,0870,0060,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I27-Z,TTR,D087H,VO,P,C,EY  , ,   ,FC, ,TTR,VO,D, ,      ,0884,0071,0420,0044, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,A,I27-Z,TTR, , , , , E  ,R,   ,CI,Y,ITCY,VO,P,I,      ,    ,    ,2220,    ,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I27-Z, ,CI27Z,VO,P,C,E  I, ,   ,IF, ,ITCY,VO,P,I,      ,0875,0132,    ,    ,J,02300,02300,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I27-Z, ,FI27,VO,P,C,E  F, ,   ,CF, ,ITCY,VO,P,I,      ,0875,0076,2670,0055,H,02300,02300,     , ,   ,-300,   ,TTR,VO,D, , ,0,D,S;
APPCH:030,I,I27-Z, ,RW27,VO,P,G,G  M, ,   ,CF, ,ITCY,VO,P,I,      ,0875,0014,2670,0062, ,00324,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I27-Z, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2670,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I27-Z, ,TTR,VO,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I27-Z, ,TTR,VO,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,0920,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
RWY:RW09 ,     ,      ,00291, ,    , ,   ;N10455564,E078422898,0482;
RWY:RW27 ,     ,      ,00268, ,ITCY,1,   ;N10460151,E078434366,0000;
