APPCH:010,A,R13,SITOC,LACED,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R13,SITOC,SITOC,K1,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,1168,0173,+,08800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R13,WOLIP,WOLIP,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R13,WOLIP,SITOC,K1,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,1971,0106,+,08800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R13, ,SITOC,K1,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08800,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:011,R,R13, ,TEGTE,K1,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,1253,0071,+,07100,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R13, ,ZASKA,K1,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1254,0048,+,05800,     ,     , ,   ,    ,   ,RW13,K1,P,G, ,A,J,S;
PRDAT:A,       LPV,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:021,R,R13, ,SOKNE,K1,P,C,E S , ,031,TF, , , , , ,      ,    ,    ,1254,0043,V,04420,04440,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:030,R,R13, ,RW13,K1,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,1254,0032, ,03421,     ,     , ,   ,-300,   , , , , , ,A,J,S;
APPCH:040,R,R13, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1254,    ,+,03800,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R13, ,CAKPU,K1,P,C,E   ,L,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R13, ,GOYEK,K1,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,0542,0102,+,11000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:070,R,R13, ,GOYEK,K1,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2533,0070,+,11000,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW08 ,     ,      ,03370,D,    , ,   ;N44501293,W117485139,0000;
RWY:RW13 ,     ,+10089,03366,R,    , ,   ;N44503209,W117484820,0000;
RWY:RW17 ,     ,      ,03366,D,    , ,   ;N44504137,W117484576,0000;
RWY:RW26 ,     ,      ,03369,D,    , ,   ;N44500867,W117480082,0000;
RWY:RW31 ,     ,      ,03373,D,    , ,   ;N44495279,W117480430,0000;
RWY:RW35 ,     ,      ,03372,D,    , ,   ;N44500226,W117484692,0397;
