SID:010,5,ADA1A,RW06,ME008,SB,P,C,EY  , ,010,CF, ,MCA,SB,D, ,      ,0577,0037,0570,0032, ,     ,     ,04000, ,   ,    ,   ,SBME,SB,P,A,B, , , ;
SID:020,5,ADA1A,RW06,ME047,SB,P,C,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,190,    ,   , , , , , , , , ;
SID:030,5,ADA1A,RW06,ADA,SB,D, ,VEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ADA1B,RW24,ME001,SB,P,C,EY  , ,010,CF, ,MCA,SB,D, ,      ,2348,0034,2370,0032, ,     ,     ,04000, ,   ,    ,   ,SBME,SB,P,A,B, , , ;
SID:030,5,ADA1B,RW24,ADA,SB,D, ,VEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADA2A,RW06, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0570,    ,+,01500,     ,04000,-,230,    ,   ,MCA,SB,D, , , , , ;
SID:015,2,ADA2A,RW06,MCA,SB,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ADA2A,RW06,MCA02,SB,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ADA2A,RW06,ADA,SB,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ADA2B,RW24, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2370,    ,+,01500,     ,04000,-,230,    ,   ,MCA,SB,D, , , , , ;
SID:020,2,ADA2B,RW24,MCA02,SB,P,C,E   , ,   ,CF, ,MCA,SB,D, ,      ,2358,0200,2360,0180,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ADA2B,RW24,ADA,SB,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIKP2A,RW06, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0570,    ,+,01500,     ,04000,-,230,    ,   ,MCA,SB,D, , , , , ;
SID:020,2,GIKP2A,RW06,GIKPO,SB,E,A,EEC , ,   ,CF, ,MCA,SB,D, ,      ,0614,0467,0620,0450, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GIKP2B,RW24, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2370,    ,+,01500,     ,04000,-,230,    ,   ,MCA,SB,D, , , , , ;
SID:020,2,GIKP2B,RW24,MCA,SB,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,GIKP2B,RW24,GIKPO,SB,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,OMNI,RW06, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0570,    ,+,02000,     ,04000, ,   ,    ,   ,SBME,SB,P,A,B, , , ;
SID:020,1,OMNI,RW06, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,0570,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,OMNI,RW24, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2370,    ,+,02000,     ,04000, ,   ,    ,   ,SBME,SB,P,A,B, , , ;
SID:020,1,OMNI,RW24, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2370,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,SIKI2A,RW06, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0570,    ,+,01500,     ,04000,-,230,    ,   ,MCA,SB,D, , , , , ;
SID:020,2,SIKI2A,RW06, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,2220,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,SIKI2A,RW06,MCA01,SB,P,C,E   , ,   ,CF, ,MCA,SB,D, ,      ,1911,0200,1920,0120,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,SIKI2A,RW06,SIKIV,SB,P,C,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,3,SIKI2A,ADA,SIKIV,SB,P,C,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,MCA,SB,D, , , , , ;
SID:030,3,SIKI2A,ADA,ADA,SB,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,SIKI2B,RW24, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,2370,    ,+,01500,     ,04000,-,230,    ,   ,MCA,SB,D, , , , , ;
SID:020,2,SIKI2B,RW24, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1620,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,SIKI2B,RW24,MCA01,SB,P,C,E   , ,   ,CF, ,MCA,SB,D, ,      ,1911,0200,1920,0140,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,SIKI2B,RW24,SIKIV,SB,P,C,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,3,SIKI2B,ADA,SIKIV,SB,P,C,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,MCA,SB,D, , , , , ;
SID:030,3,SIKI2B,ADA,ADA,SB,D, ,VEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,UTNI1A,RW06,ME008,SB,P,C,EY  , ,010,CF, ,MCA,SB,D, ,      ,0577,0037,0570,0032, ,     ,     ,04000, ,   ,    ,   ,SBME,SB,P,A,B, , , ;
SID:020,4,UTNI1A,RW06,UTNIG,SB,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,UTNI1A,GIKPO,UTNIG,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,SBME,SB,P,A,B, , , ;
SID:020,6,UTNI1A,GIKPO,GIKPO,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,UTNI1A,UTKIR,UTNIG,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,SBME,SB,P,A,B, , , ;
SID:020,6,UTNI1A,UTKIR,UTKIR,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,UTNI1B,RW24,ME001,SB,P,C,EY  , ,010,CF, ,MCA,SB,D, ,      ,2348,0034,2370,0032, ,     ,     ,04000, ,   ,    ,   ,SBME,SB,P,A,B, , , ;
SID:020,4,UTNI1B,RW24,ME046,SB,P,C,EY  ,R,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,4,UTNI1B,RW24,UTNIG,SB,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,UTNI1B,GIKPO,UTNIG,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,SBME,SB,P,A,B, , , ;
SID:020,6,UTNI1B,GIKPO,GIKPO,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,UTNI1B,UTKIR,UTNIG,SB,P,C,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,04000, ,   ,    ,   ,SBME,SB,P,A,B, , , ;
SID:020,6,UTNI1B,UTKIR,UTKIR,SB,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,D24,MCA,MCA,SB,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D24,MCA,MCA,SB,D, ,V   , ,   ,FD, ,MCA,SB,D, ,      ,0000,0000,0880,0080,+,01700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D24,MCA,CF24,SB,P,C,EE  ,L,   ,CF,Y,MCA,SB,D, ,      ,0585,0080,2390,0010,+,01700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D24, ,CF24,SB,P,C,E  I, ,   ,IF, ,MCA,SB,D, ,      ,0585,0080,    ,    ,+,01700,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D24, ,OPTAR,SB,P,C,E  F, ,   ,CF, ,MCA,SB,D, ,      ,0585,0055,2390,0025,+,01650,     ,     , ,   ,    ,   ,MCA,SB,D, , ,0, ,S;
APPCH:025,D,D24, ,ME014,SB,P,C,E S , ,   ,CF, ,MCA,SB,D, ,      ,0585,0035,2390,0020,+,01030,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:030,D,D24, ,MCA06,SB,P,C,E  M, ,   ,CF, ,MCA,SB,D, ,      ,0585,0005,2390,0030, ,00058,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D24, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2390,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D24, ,MCA,SB,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,03600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D24, ,MCA,SB,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0880,T010,+,03600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW06 ,     ,      ,00008, ,    , ,   ;S22205116,W041460939,0000;
RWY:RW24 ,     ,      ,00008, ,    , ,   ;S22201847,W041454627,0000;
