SID:010,1,OMNI,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1160,    ,+,04500,     ,08000, ,   ,    ,   ,SBJH,SB,P,A, , , , ;
SID:020,1,OMNI,RW12, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1160,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,OMNI,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2960,    ,+,03500,     ,08000, ,   ,    ,   ,SBJH,SB,P,A, , , , ;
SID:020,1,OMNI,RW30, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2960,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,DOSP1C,ENTIT,ENTIT,SB,E,A,E CH, ,010,IF, , , , , ,      ,    ,    ,    ,    ,-,FL270,     ,     , ,   ,    ,   ,SBJH,SB,P,A, , , , ;
STAR:020,4,DOSP1C,ENTIT,SP092,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,DOSP1C,ENTIT,SP093,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,DOSP1C,ENTIT,SP094,SB,E,A,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL210,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,DOSP1C,ENTIT,DOSPI,SB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,DOSP1C,UTLOT,UTLOT,SB,E,A,E CH, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SBJH,SB,P,A, , , , ;
STAR:020,4,DOSP1C,UTLOT,IREMA,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,FL240,FL200,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,DOSP1C,UTLOT,SP109,SB,E,A,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,DOSP1C,UTLOT,DOSPI,SB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,DOSP1C,RW12,DOSPI,SB,E,A,E   , ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SBJH,SB,P,A, , , , ;
STAR:020,5,DOSP1C,RW12,SP096,SB,E,A,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,FL170,FL130,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,DOSP1C,RW12,SP097,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,DOSP1C,RW12,JH004,SB,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,IBDA1A,RW12,IBDAL,SB,E,A,E CH, ,010,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,SBJH,SB,P,A, , , , ;
STAR:020,5,IBDA1A,RW12,MANLO,SB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,FL260,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,IBDA1A,RW12,UKDAN,SB,E,A,E  H, ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,IBDA1A,RW12,JH028,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,IBDA1A,RW12,JH029,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,IBDA1A,RW12,JH031,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,5,IBDA1A,RW12,JH003,SB,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,R12,JH003,JH003,SB,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R12,JH003,JH002,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,220,    ,   , , , , , ,B,J,S;
APPCH:010,A,R12,JH004,JH004,SB,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R12,JH004,JH002,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,220,    ,   , , , , , ,B,J,S;
APPCH:010,R,R12, ,JH002,SB,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04500,     ,     ,-,220,    ,   , , , , , ,B,J,S;
APPCH:020,R,R12, ,JH001,SB,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,1160,0040,+,03870,     ,     , ,   ,    ,   ,SBJH,SB,P,A, ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:025,R,R12, ,JH006,SB,P,C,E S , ,302,TF, , , , , ,      ,    ,    ,1160,0020,+,03234,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:030,R,R12, ,RW12,SB,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,1160,0020, ,02597,     ,     , ,   ,-300,   , , , , , ,B,J,S;
APPCH:040,R,R12, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1160,    ,+,03100,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:050,R,R12, ,JH004,SB,P,C,EY  ,L,010,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,210,    ,   , , , , , ,B,J,S;
APPCH:060,R,R12, ,JH004,SB,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,1860,T010,+,06000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R30-Y,JH019,JH019,SB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R30-Y,JH019,JH021,SB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:030,A,R30-Y,JH019,JH022,SB,P,C,E   ,L,010,RF, , , , , ,003500,    ,    ,    ,0063,+,04500,     ,     , ,   ,    ,   ,JH023,SB,P,C, ,B,J,S;
APPCH:040,A,R30-Y,JH019,JH024,SB,P,C,EE B,L,010,RF, , , , , ,003500,    ,    ,    ,0019,+,04100,     ,     , ,   ,    ,   ,JH023,SB,P,C, ,B,J,S;
APPCH:010,R,R30-Y, ,JH024,SB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     , ,   ,    ,   ,SBJH,SB,P,A, ,B,J,S;
APPCH:020,R,R30-Y, ,JH026,SB,P,C,E  F,L,010,RF, , , , , ,002900,    ,    ,    ,0023,+,03590,     ,     , ,   ,    ,   ,JH027,SB,P,C, ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R30-Y, ,RW30,SB,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2960,0030, ,02564,     ,     , ,   ,-320,   , , , , , ,B,J,S;
APPCH:040,R,R30-Y, ,JH016,SB,P,C,E M , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:050,R,R30-Y, ,JH017,SB,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:060,R,R30-Y, ,JH017,SB,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,1660,T010,+,06000,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R30-Z,JH011,JH011,SB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,P,S;
APPCH:020,A,R30-Z,JH011,JH012,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     ,-,190,    ,   , , , , , ,B,P,S;
APPCH:010,R,R30-Z, ,JH012,SB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     ,-,190,    ,   ,SBJH,SB,P,A, ,B,P,S;
APPCH:020,R,R30-Z, ,JH013,SB,P,C,E  F,L,010,RF, , , , , ,002850,    ,    ,    ,0060,+,04160,     ,     , ,   ,    ,   ,JH018,SB,P,C, ,B,P,S;
APPCH:025,R,R30-Z, ,JH014,SB,P,C,E   ,L,302,RF, , , , , ,002850,    ,    ,    ,0030,+,03201,     ,     , ,   ,-300,   ,JH018,SB,P,C, ,B,P,S;
APPCH:030,R,R30-Z, ,RW30,SB,P,G,GY M, ,302,TF, , , , , ,      ,    ,    ,2960,0020, ,02564,     ,     , ,   ,-300,   , , , , , ,B,P,S;
APPCH:040,R,R30-Z, ,JH016,SB,P,C,E M , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,B,P,S;
APPCH:050,R,R30-Z, ,JH017,SB,P,C,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , ,B,P,S;
APPCH:060,R,R30-Z, ,JH017,SB,P,C,EE H,R,010,HM, , , , , ,      ,    ,    ,1660,T010,+,06000,     ,     , ,   ,    ,   , , , , , ,B,P,S;
RWY:RW12 ,     ,      ,02547, ,    , ,   ;S23253397,W047103467,0568;
RWY:RW30 ,     ,      ,02514, ,    , ,   ;S23253915,W047092004,0564;
