SID:010,5,ARFU1A,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2050,    ,+,01030,     ,05000, ,   ,    ,   ,EFRO,EF,P,A, , , , ;
SID:020,5,ARFU1A,RW21,RO362,EF,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,ARFU1A,RW21,HETHI,EF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,ARFU1A,RW21,ARFUT,EF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARFU1B,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0250,    ,+,01010,     ,05000, ,   ,    ,   ,EFRO,EF,P,A, , , , ;
SID:020,5,ARFU1B,RW03,RO363,EF,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,ARFU1B,RW03,XEPGI,EF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,ARFU1B,RW03,ARFUT,EF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,IBSA3A,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2050,    ,+,01030,     ,05000, ,   ,    ,   ,EFRO,EF,P,A, , , , ;
SID:020,5,IBSA3A,RW21,RO362,EF,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,IBSA3A,RW21,XETKO,EF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,IBSA3A,RW21,IBSAN,EF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,IBSA3B,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0250,    ,+,01010,     ,05000, ,   ,    ,   ,EFRO,EF,P,A, , , , ;
SID:020,5,IBSA3B,RW03,RO363,EF,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,IBSA3B,RW03,NETNI,EF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,IBSA3B,RW03,IBSAN,EF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MARX1A,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2050,    ,+,01030,     ,05000, ,   ,    ,   ,EFRO,EF,P,A, , , , ;
SID:020,5,MARX1A,RW21,RO362,EF,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,200,    ,   , , , , , , , , ;
SID:030,5,MARX1A,RW21,HETHI,EF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,MARX1A,RW21,MARXO,EF,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
