SID:010,2,BANR3A,RW24, , , , ,    , ,   ,CD, ,PAR,LG,D, ,      ,    ,    ,2450,0110, ,     ,     ,06000, ,   ,    ,   ,PAR,LG,D, , , , , ;
SID:020,2,BANR3A,RW24, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0790,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,BANR3A,RW24,RDS,LG,D, ,VY  , ,   ,CF, ,RDS,LG,D, ,      ,0000,0000,1090,0110, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BANR3A,RW24, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2850,    , ,     ,     ,     ,-,255,    ,   , , , , , , , , ;
SID:050,2,BANR3A,RW24,BANRO,LT,E,A,EEC , ,   ,CF, ,RDS,LG,D, ,      ,3307,0102,3300,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BANR3B,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0650,    ,+,00700,     ,06000, ,   ,    ,   ,PAR,LG,D, , , , , ;
SID:020,2,BANR3B,RW06,D050J,LG,P,C,E   , ,   ,CF, ,PAR,LG,D, ,      ,0500,0100,0500,0070, ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:025,2,BANR3B,RW06, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0500,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,BANR3B,RW06,D105N,LG,P,C,E   ,R,   ,AF, ,RDS,LG,D, ,      ,1050,0140,0360,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:035,2,BANR3B,RW06, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2550,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BANR3B,RW06,RDS,LG,D, ,V   , ,   ,CF, ,RDS,LG,D, ,      ,0000,0000,3000,0140, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,BANR3B,RW06,BANRO,LT,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BANR3M,RW24, , , , ,    , ,   ,CD, ,PAR,LG,D, ,      ,    ,    ,2450,0100, ,     ,     ,06000, ,   ,    ,   ,PAR,LG,D, , , , , ;
SID:020,2,BANR3M,RW24, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,0680,    , ,     ,     ,     ,-,255,    ,   , , , , , , , , ;
SID:030,2,BANR3M,RW24,PAR,LG,D, ,V   , ,   ,CF, ,PAR,LG,D, ,      ,0000,0000,0980,0090, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
