SID:010,5,EMUN3B,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3030,    ,+,01500,     ,03000, ,   ,    ,   ,MUCL,MU,P,A,A, , , ;
SID:020,5,EMUN3B,RW30,EMUNO,MU,P,C,EE  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,EMUN3B,DUTAN,EMUNO,MU,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,MUCL,MU,P,A,A, , , ;
SID:020,6,EMUN3B,DUTAN,DUTAN,MU,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,EMUN3B,XOPLI,EMUNO,MU,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,MUCL,MU,P,A,A, , , ;
SID:020,6,EMUN3B,XOPLI,XOPLI,MU,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,IKLAR1,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3030,    ,+,01500,     ,03000, ,   ,    ,   ,MUCL,MU,P,A,A, , , ;
SID:020,5,IKLAR1,RW30,IKLAR,MU,P,C,EE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,IKLAR1,IBSEN,IKLAR,MU,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,MUCL,MU,P,A,A, , , ;
SID:020,6,IKLAR1,IBSEN,IBSEN,MU,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,IKLAR1,LACET,IKLAR,MU,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,MUCL,MU,P,A,A, , , ;
SID:020,6,IKLAR1,LACET,LACET,MU,E,A,EB  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
