SID:010,2,FQG01D,RW05, , , , ,    , ,   ,CD, ,XMN,ZS,D, ,      ,    ,    ,0550,0048,+,00990,     ,     , ,   ,    ,   ,XMN,ZS,D, , , , , ;
SID:015,2,FQG01D,RW05,AMURI,ZS,E,A,E C , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02300,     ,     ,-,230,    ,   , , , , , , , , ;
SID:020,2,FQG01D,RW05,D050S,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04930,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,FQG01D,RW05,XLN32,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08860,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,FQG01D,RW05,FQG,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,FQG11D,RW23, , , , ,    , ,   ,CD, ,XMN,ZS,D, ,      ,    ,    ,2350,0068,+,01480,     ,     , ,   ,    ,   ,XMN,ZS,D, , , , , ;
SID:030,2,FQG11D,RW23,XLN,ZS,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02960,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,FQG11D,RW23,D050R,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06240,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,FQG11D,RW23,ENVEN,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,FQG11D,RW23,FQG,ZS,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,FQG81D,RW23,AM503,ZS,P,C,EY  , ,   ,CF, ,XLN,ZS,D, ,      ,1749,0055,2350,0070,+,01480,     ,     , ,   ,    ,   ,XMN,ZS,D, , , , , ;
SID:030,5,FQG81D,RW23,XLN,ZS,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02960,     ,     ,-,230,    ,   , , , , , , , , ;
