SID:010,1,BLANE1,RW07T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,260T,    ,+,00800,     ,18000, ,   ,    ,   ,ZWD,A1,D, , , , , ;
SID:020,1,BLANE1,RW07T, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,341T,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,BLANE1,RW07T,NOBEY,NZ,E,A,EE  , ,   ,CF, ,ZWD,A1,D, ,      ,2950,0195,295T,0170,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,BLANE1,RW25T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,080T,    ,+,01000,     ,18000, ,   ,    ,   ,ZWD,A1,D, , , , , ;
SID:020,1,BLANE1,RW25T,ZWD,A1,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,BLANE1,RW25T,NOBEY,NZ,E,A,EE  , ,   ,CF, ,ZWD,A1,D, ,      ,2950,0195,295T,0195,+,04000,     ,     ,-,270,    ,   , , , , , , , , ;
SID:010,1,BLANE1,RW33T, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,162T,    ,+,00460,     ,18000, ,   ,    ,   ,ZWD,A1,D, , , , , ;
SID:020,1,BLANE1,RW33T, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,352T,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,BLANE1,RW33T,NOBEY,NZ,E,A,EE  , ,   ,CF, ,ZWD,A1,D, ,      ,2950,0195,295T,0170,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,GRIFF6,RW07T, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,260T,    , ,     ,     ,18000, ,   ,    ,   ,ZFX,A1,D, , , , , ;
SID:020,1,GRIFF6,RW07T,NOBEY,NZ,E,A,EE  , ,   ,CF, ,ZWD,A1,D, ,      ,2949,0195,312T,0150,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
