SID:010,4,HELLI5,RW29,NASUX,YB,E,A,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,HELLI5,RW29,BARNY,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,HELLI5,RW29,HELLI,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,JULIE5,RW11,LAPAR,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,JULIE5,RW11,MENOB,YB,P,C,E   ,L,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,JULIE5,RW11,TURGO,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,-,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,JULIE5,RW11,WUDOF,YB,E,A,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,JULIE5,RW11,ARUPU,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL150,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,JULIE5,RW11,SADAR,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,4,JULIE5,RW11,JULIE,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,JULIE5,RW29,NASUX,YB,E,A,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,JULIE5,RW29,SADAR,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,JULIE5,RW29,JULIE,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,LAKUP5,RW11,DN,YB,D, ,VY  , ,010,CF, ,DN,YB,D, ,      ,0000,0000,1060,0010, ,     ,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,LAKUP5,RW11, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,1060,    ,+,00900,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,LAKUP5,RW11,ONALI,YB,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,LAKUP5,RW11,OTGAX,YB,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,LAKUP5,RW11,LAKUP,YB,E,A,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,LAKUP5,RW29,DER29,YB,P,C,EY  , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,DN,YB,D, , , , , ;
SID:020,4,LAKUP5,RW29, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,2860,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
