SID:010,4,CIITY3,RW10L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1040,    ,+,00520,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,CIITY3,RW10L,ORYAN,K2,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,CIITY3,RW10L,SAHEY,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,CIITY3,RW10L,CIITY,K2,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CIITY3,RW10R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1040,    ,+,00520,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,CIITY3,RW10R,URRSA,K2,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,CIITY3,RW10R,SAHEY,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,CIITY3,RW10R,CIITY,K2,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CIITY3,RW19B, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1940,    ,+,00520,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,CIITY3,RW19B,CIITY,K2,P,C,EE  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,CIITY3,DEDHD,CIITY,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,CIITY3,DEDHD,BCEEE,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,CIITY3,DEDHD,DEDHD,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,CIITY3,GRTFL,CIITY,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,CIITY3,GRTFL,BCEEE,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,CIITY3,GRTFL,GRTFL,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,CIITY3,MOGEE,CIITY,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,CIITY3,MOGEE,BCEEE,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,CIITY3,MOGEE,MOGEE,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,CIITY3,ORRCA,CIITY,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,CIITY3,ORRCA,BCEEE,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,CIITY3,ORRCA,ORRCA,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,CIITY3,SYRAH,CIITY,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,CIITY3,SYRAH,LLVII,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,CIITY3,SYRAH,SYRAH,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,CIITY3,TIPRE,CIITY,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,CIITY3,TIPRE,BCEEE,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,CIITY3,TIPRE,TIPRE,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,GAPP7,RW01B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0140,    ,+,00420,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,GAPP7,RW01B,SFO,K2,D, ,VE  , ,   ,FM, ,SFO,K2,D, ,      ,0000,0000,3500,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,GAPP7,RW10B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1040,    ,+,00420,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,GAPP7,RW10B,BARTN,K2,P,C,E   , ,   ,CF, ,SFO,K2,D, ,      ,0900,0145,0900,0150, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,GAPP7,RW10B,OSI,K2,D, ,V   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,1,GAPP7,RW10B,OSI,K2,D, ,VE  , ,   ,FM, ,OSI,K2,D, ,      ,0000,0000,2080,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,GAPP7,RW19B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1940,    ,+,00420,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,GAPP7,RW19B, , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,0600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
