SID:020,2,BAVE1A,RW29R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2870,    ,+,03500,     ,11000, ,   ,    ,   ,SUD,LG,D, , , , , ;
SID:030,2,BAVE1A,RW29R,D287L,LG,P,C,EY  , ,   ,CF, ,SUD,LG,D, ,      ,2870,0120,2870,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,BAVE1A,RW29R,SUD,LG,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,BAVE1A,RW29R,BAVES,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAVE1B,RW11L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1070,    ,+,03500,     ,11000, ,   ,    ,   ,SUD,LG,D, , , , , ;
SID:020,2,BAVE1B,RW11L,D107I,LG,P,C,EY  , ,   ,CF, ,SUD,LG,D, ,      ,1070,0090,1070,0050, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BAVE1B,RW11L, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0530,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,BAVE1B,RW11L,BAVES,LG,E,A,EEC , ,   ,CF, ,SUD,LG,D, ,      ,0981,0277,0980,0170,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAVE1J,RW11L,DER11,LG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,11000, ,   ,    ,   ,SUD,LG,D, , , , , ;
SID:015,2,BAVE1J,RW11L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1070,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BAVE1J,RW11L, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0680,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,BAVE1J,RW11L,BAVES,LG,E,A,EEC , ,   ,CF, ,SUD,LG,D, ,      ,0981,0277,0980,0240,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAVE1L,RW29R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2880,    ,+,03200,     ,11000, ,   ,    ,   ,SUD,LG,D, , , , , ;
SID:020,2,BAVE1L,RW29R,SUD,LG,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,BAVE1L,RW29R,BAVES,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAVE1S,RW29R,D287L,LG,P,C,EY  , ,   ,CF, ,SUD,LG,D, ,      ,2870,0120,2870,0120,+,03500,     ,11000, ,   ,    ,   ,SUD,LG,P,N, , , , ;
SID:020,2,BAVE1S,RW29R,SUD,LG,P,N,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,250,    ,   , , , , , , , , ;
SID:030,2,BAVE1S,RW29R,BAVES,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BAVE1T,RW11L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1080,    ,+,00890,     ,11000, ,   ,    ,   ,SUD,LG,P,N, , , , ;
SID:020,2,BAVE1T,RW11L,BAVES,LG,E,A,EEC , ,   ,CF, ,SUD,LG,D, ,      ,0981,0277,0980,0280,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,OTRE1J,RW11L,DER11,LG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,11000, ,   ,    ,   ,SUD,LG,D, , , , , ;
SID:015,2,OTRE1J,RW11L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1070,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,OTRE1J,RW11L,SUD,LG,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,OTRE1J,RW11L, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,0920,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,OTRE1J,RW11L,D137K,LG,P,C,E   , ,   ,CF, ,SUD,LG,D, ,      ,1370,0110,1370,0070,+,11000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,OTRE1J,RW11L,D137Y,LG,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,OTRE1J,RW11L,OTREX,LG,E,A,EEC , ,   ,CF, ,SUD,LG,D, ,      ,1163,0435,0910,0210, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,OTRE1L,RW29R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2880,    ,+,03200,     ,11000, ,   ,    ,   ,SUD,LG,D, , , , , ;
SID:020,2,OTRE1L,RW29R,SUD,LG,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     ,-,210,    ,   , , , , , , , , ;
