SID:010,2,ANI01D,RW03,CN301,ZS,P,C,EY  , ,   ,CF, ,NCH,ZS,D, ,      ,0262,0075,0260,0080,+,01650,     ,     , ,   ,    ,   ,NCH,ZS,D, , , , , ;
SID:020,2,ANI01D,RW03,NCH,ZS,D, ,V   ,L,   ,CF,Y,NCH,ZS,D, ,      ,0000,0000,1660,0080,+,04930,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,ANI01D,RW03,D213Q,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL128,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ANI01D,RW03,PULES,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL138,FL128,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ANI01D,RW03,ANISA,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ANI11D,RW21,CN102,ZS,P,C,EY  , ,   ,CF, ,NCH,ZS,D, ,      ,2061,0090,2060,0070,+,02300,     ,     , ,   ,    ,   ,NCH,ZS,D, , , , , ;
SID:020,2,ANI11D,RW21,D230P,ZS,P,C,E   , ,   ,CF, ,NCH,ZS,D, ,      ,2297,0155,2640,0070, ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,2,ANI11D,RW21,D230U,ZS,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05910,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ANI11D,RW21,MUDIB,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL115,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ANI11D,RW21,LEPMI,ZS,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,ANI11D,RW21,ANISA,ZS,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ANI81D,RW21,CN102,ZS,P,C,E   , ,010,CF, ,NCH,ZS,D, ,      ,2061,0090,2060,0070,+,02300,     ,     , ,   ,    ,   ,NCH,ZS,D, , , , , ;
SID:020,5,ANI81D,RW21,ANONU,ZS,E,A,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05910,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ANI81D,RW21,MUDIB,ZS,E,A,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,FL115,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ANI81D,RW21,LEPMI,ZS,E,A,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ANI81D,RW21,ANISA,ZS,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ANI91D,RW03,CN301,ZS,P,C,EY  , ,010,CF, ,NCH,ZS,D, ,      ,0262,0075,0260,0080,+,01650,     ,     , ,   ,    ,   ,NCH,ZS,D, , , , , ;
SID:020,5,ANI91D,RW03,CN304,ZS,P,C,E   ,L,010,CF,Y,NCH,ZS,D, ,      ,3272,0052,2060,0050,+,03940,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,ANI91D,RW03,CN104,ZS,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ANI91D,RW03,PULES,ZS,E,A,E C , ,010,TF, , , , , ,      ,    ,    ,    ,    ,B,FL138,FL128,     , ,   ,    ,   , , , , , , , , ;
