SID:010,5,ATLA3C,RW19L,GM604,EN,P,C,E   , ,   ,CF, ,GRM,EN,D, ,      ,1717,0035,1920,0030, ,     ,     ,07000,-,230,    ,   ,ENGM,EN,P,A, , , , ;
SID:020,5,ATLA3C,RW19L,GM602,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ATLA3C,RW19L,ODAXI,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ATLA3C,RW19L,GM451,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ATLA3C,RW19L,ATLAP,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ATLA5A,RW01L,GM436,EN,P,C,E   , ,   ,CF, ,GRM,EN,D, ,      ,0132,0041,0120,0030, ,     ,     ,07000,-,230,    ,   ,ENGM,EN,P,A, , , , ;
SID:020,5,ATLA5A,RW01L,GM437,EN,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ATLA5A,RW01L,GM439,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ATLA5A,RW01L,GM614,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ATLA5A,RW01L,ATLAP,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ATLA7D,RW19R, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1920,    , ,     ,     ,07000,-,230,    ,   ,ENGM,EN,P,A, , , , ;
SID:020,5,ATLA7D,RW19R,GM442,EN,P,C,E   , ,   ,CF, ,GRM,EN,D, ,      ,2262,0047,2410,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ATLA7D,RW19R,GM616,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ATLA7D,RW19R,GM619,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ATLA7D,RW19R,GM448,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ATLA7D,RW19R,ATLAP,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ATLA9B,RW01R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0120,    ,+,01100,     ,07000,-,205,    ,   ,ENGM,EN,P,A, , , , ;
SID:020,5,ATLA9B,RW01R,GM440,EN,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:030,5,ATLA9B,RW01R,GM441,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,5,ATLA9B,RW01R,GM514,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:045,5,ATLA9B,RW01R,GM614,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ATLA9B,RW01R,ATLAP,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EVTO3C,RW19L,GM604,EN,P,C,E   , ,   ,CF, ,GRM,EN,D, ,      ,1717,0035,1920,0030, ,     ,     ,07000,-,230,    ,   ,ENGM,EN,P,A, , , , ;
SID:020,5,EVTO3C,RW19L,GM602,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EVTO3C,RW19L,ODAXI,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,EVTO3C,RW19L,GM619,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,EVTO3C,RW19L,GM717,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,EVTO3C,RW19L,EVTOG,EN,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,EVTO5A,RW01L,GM436,EN,P,C,E   , ,   ,CF, ,GRM,EN,D, ,      ,0132,0041,0120,0030, ,     ,     ,07000,-,230,    ,   ,ENGM,EN,P,A, , , , ;
SID:020,5,EVTO5A,RW01L,GM437,EN,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,EVTO5A,RW01L,GM438,EN,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
