SID:010,4,ASMA4C,RW34L,DE34L,LT,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,12000, ,   ,    ,   ,LTFM,LT,P,A, , , , ;
SID:015,4,ASMA4C,RW34L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3540,    ,+,00760,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,ASMA4C,RW34L,FM017,LT,P,C,EE  , ,   ,CF, ,IST,LT,D, ,      ,3381,0263,3240,0050,+,02000,     ,     ,-,240,    ,   , , , , , , , , ;
SID:010,4,ASMA4C,RW34R,DE34R,LT,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,12000, ,   ,    ,   ,LTFM,LT,P,A, , , , ;
SID:015,4,ASMA4C,RW34R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3540,    ,+,00760,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,ASMA4C,RW34R,FM017,LT,P,C,EE  , ,   ,CF, ,IST,LT,D, ,      ,3381,0263,3230,0050,+,02000,     ,     ,-,240,    ,   , , , , , , , , ;
SID:010,5,ASMA4C, ,FM017,LT,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,12000,-,240,    ,   ,LTFM,LT,P,A, , , , ;
SID:020,5,ASMA4C, ,FM018,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ASMA4C, ,FM019,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ASMA4C, ,ELNUG,LT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ASMA4C, ,MIKOC,LT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ASMA4C, ,FILFU,LT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ASMA4C, ,FM044,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,5,ASMA4C, ,FM046,LT,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:090,5,ASMA4C, ,INRUV,LT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:100,5,ASMA4C, ,LIDMU,LT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:110,5,ASMA4C, ,NOTVI,LT,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:120,5,ASMA4C, ,ASMAP,LT,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,ASMA4D,RW35L,DE35L,LT,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,12000, ,   ,    ,   ,LTFM,LT,P,A, , , , ;
SID:015,4,ASMA4D,RW35L, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3540,    ,+,00760,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,4,ASMA4D,RW35L,FM012,LT,P,C,EE  , ,   ,CF, ,IST,LT,D, ,      ,3463,0255,3550,0050,+,01750,     ,     ,-,240,    ,   , , , , , , , , ;
SID:010,4,ASMA4D,RW35R,DE35R,LT,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,12000, ,   ,    ,   ,LTFM,LT,P,A, , , , ;
SID:020,4,ASMA4D,RW35R, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3540,    ,+,00760,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,ASMA4D,RW35R,FM012,LT,P,C,EE  , ,   ,CF, ,IST,LT,D, ,      ,3463,0255,3540,0050,+,01750,     ,     ,-,240,    ,   , , , , , , , , ;
SID:010,5,ASMA4D, ,FM012,LT,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,01750,     ,12000,-,240,    ,   ,LTFM,LT,P,A, , , , ;
