SID:010,2,ATV2Q,RW18, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1760,    ,+,00550,     ,09000, ,   ,    ,   ,LEF,LG,D, ,B, , , ;
SID:020,2,ATV2Q,RW18,D183J,LG,P,C,EY  , ,   ,CF, ,LEF,LG,D, ,      ,1830,0100,1830,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ATV2Q,RW18,ATV,LG,D, ,VE  ,L,   ,CF, ,ATV,LG,D, ,      ,0000,0000,0870,0110,+,07000,     ,     ,-,250,    ,   , , , , , , , , ;
SID:005,2,ATV2S,RW36,DER36,LG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,LEF,LG,D, ,B, , , ;
SID:010,2,ATV2S,RW36, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3560,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ATV2S,RW36, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1250,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,ATV2S,RW36,D183J,LG,P,C,EY  , ,   ,CF, ,LEF,LG,D, ,      ,1830,0100,1830,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ATV2S,RW36,ATV,LG,D, ,VE  ,L,   ,CF, ,ATV,LG,D, ,      ,0000,0000,0870,0110,+,07000,     ,     ,-,250,    ,   , , , , , , , , ;
SID:005,2,DDM2H,RW36,DER36,LG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,LEF,LG,D, ,B, , , ;
SID:010,2,DDM2H,RW36, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3560,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,DDM2H,RW36, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1250,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,DDM2H,RW36,D183J,LG,P,C,E   , ,   ,CF, ,LEF,LG,D, ,      ,1830,0100,1830,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,DDM2H,RW36,DDM,LG,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     ,-,250,    ,   , , , , , , , , ;
SID:010,2,DDM2Q,RW18, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1760,    ,+,00550,     ,09000, ,   ,    ,   ,LEF,LG,D, ,B, , , ;
SID:020,2,DDM2Q,RW18,D183J,LG,P,C,E   , ,   ,CF, ,LEF,LG,D, ,      ,1830,0100,1830,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DDM2Q,RW18,DDM,LG,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     ,-,250,    ,   , , , , , , , , ;
SID:005,2,KOR2H,RW36,DER36,LG,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,09000, ,   ,    ,   ,LEF,LG,D, ,B, , , ;
SID:010,2,KOR2H,RW36, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3560,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,KOR2H,RW36, , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,1250,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,KOR2H,RW36,D183J,LG,P,C,EY  , ,   ,CF, ,LEF,LG,D, ,      ,1830,0100,1830,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KOR2H,RW36, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,2990,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:050,2,KOR2H,RW36,KOR,LG,D,B,EE  , ,   ,CF, ,LEF,LG,D, ,      ,2513,0305,2690,0230,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KOR2Q,RW18, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1760,    ,+,00550,     ,09000, ,   ,    ,   ,LEF,LG,D, ,B, , , ;
SID:020,2,KOR2Q,RW18,D183J,LG,P,C,EY  , ,   ,CF, ,LEF,LG,D, ,      ,1830,0100,1830,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KOR2Q,RW18, , , , ,    ,R,   ,VI, , , , , ,      ,    ,    ,2990,    , ,     ,     ,     ,-,250,    ,   , , , , , , , , ;
SID:040,2,KOR2Q,RW18,KOR,LG,D,B,EE  , ,   ,CF, ,LEF,LG,D, ,      ,2513,0305,2690,0230,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,D36,D213N,D213N,LG,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D36,D213N, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2130,    , ,     ,     ,     ,-,230,    ,   , , , , , ,0, ,S;
APPCH:030,A,D36,D213N,D184P,LG,P,C,E   ,L,   ,AF, ,LEF,LG,D, ,      ,1840,0160,2130,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
