SID:010,5,ANGU1B,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0530,    ,+,02400,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,5,ANGU1B,RW05,TIKLO,SK,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ANGU1B,RW05,ANGUV,SK,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:010,5,OSIL1C,RW05, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0540,    ,+,02400,     ,18000,-,210,    ,   , , , , , , , , ;
SID:020,5,OSIL1C,RW05,OGNUL,SK,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04300,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,OSIL1C,RW05,POSKO,SK,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,OSIL1C,RW05,OSILU,SK,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,REMI1B,RW05, , , , ,    , ,010,CA, , , , , ,      ,    ,    ,0540,    ,+,02400,     ,18000,-,210,    ,   , , , , , , , , ;
SID:020,5,REMI1B,RW05,OGNUL,SK,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    ,+,04300,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,5,REMI1B,RW05,POSKO,SK,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,REMI1B,RW05,REMIB,SK,E,A,EEC , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,SUPN1A,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0530,    ,+,01430,     ,18000, ,   ,    ,   ,EYP,SK,D, , , , , ;
SID:015,2,SUPN1A,RW05, , , , ,    , ,   ,CD, ,EYP,SK,D, ,      ,    ,    ,0530,0080,+,02400,     ,     , ,   ,    ,   , , , , , , , , ;
