SID:010,2,AXHOK1,RW24,D238A,EG,P,C,EY  , ,   ,CF, ,LKH,EG,D, ,      ,2314,0010,2380,0010, ,     ,     ,03000, ,   ,    ,   ,LKH,EG,D, , , , , ;
SID:020,2,AXHOK1,RW24, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,3200,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,AXHOK1,RW24,AXHOK,EG,P,C,EE  , ,   ,CF, ,LKH,EG,D, ,      ,2900,0250,2900,0196,-,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,IPKOP2,RW06,RW24,EG,P,G,G   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,LKH,EG,D, , , , , ;
SID:010,2,IPKOP2,RW06, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0580,    ,+,00510,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,IPKOP2,RW06, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1200,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,IPKOP2,RW06,D075H,EG,P,C,E   , ,   ,CF, ,LKH,EG,D, ,      ,0750,0076,0750,0035,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,IPKOP2,RW06,IPKOP,EG,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,TIDPU2,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0580,    ,+,00440,     ,03000, ,   ,    ,   ,LKH,EG,D, , , , , ;
SID:010,2,TIDPU2,RW06, , , , ,    , ,   ,VD, ,LKH,EG,D, ,      ,    ,    ,0720,0032, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,TIDPU2,RW06, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1400,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,TIDPU2,RW06,TIDPU,EG,P,C,EE  , ,   ,CF, ,LKH,EG,D, ,      ,1030,0300,1030,0230,-,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,I06-Y,ELNAV,ELNAV,EG,P,C,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0,N,S;
APPCH:020,A,I06-Y,ELNAV,INPOT,EG,P,C,E  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,S;
