APPCH:010,A,I10RY,NG1,NG,EP,P,N,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I10RY,NG1,NG,EP,P,N,EY  , ,   ,FC, ,LAW,EP,D, ,      ,0891,0392,3050,0088,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I10RY,NG1,CI10R,EP,P,C,EE  ,L,   ,CF,Y,IPDZ,EP,P,I,      ,2824,0103,1020,0010,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I10RY,NG2,NG,EP,P,N,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I10RY,NG2,NG,EP,P,N,EY  , ,   ,FC, ,LAW,EP,D, ,      ,0891,0392,2900,0105,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I10RY,NG2,CI10R,EP,P,C,EE  ,L,   ,CF,Y,IPDZ,EP,P,I,      ,2824,0103,1020,0010,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I10RY, ,CI10R,EP,P,C,E  I, ,   ,IF, ,IPDZ,EP,P,I,      ,2824,0103,    ,    ,J,02300,02300,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I10RY, ,FI10R,EP,P,C,E  F, ,   ,CF, ,IPDZ,EP,P,I,      ,2824,0082,1020,0022,H,02300,02300,     , ,   ,-300,   ,NG,EP,P,N, ,0,D,S;
APPCH:030,I,I10RY, ,RW10R,EP,P,G,G  M, ,   ,CF, ,IPDZ,EP,P,I,      ,2824,0023,1020,0059, ,00420,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I10RY, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1020,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I10RY, ,NG,EP,P,N,EE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I10RZ,TPW1,TPW,EP,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I10RZ,TPW1,TPW,EP,D, ,V   , ,   ,FD, ,TPW,EP,D, ,      ,0000,0000,3120,0090,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I10RZ,TPW1,CI10R,EP,P,C,EE  ,L,   ,CF,Y,IPDZ,EP,P,I,      ,2824,0103,1020,0010,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I10RZ,TPW2,TPW,EP,D, ,V  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I10RZ,TPW2,TPW,EP,D, ,V   , ,   ,FD, ,TPW,EP,D, ,      ,0000,0000,2930,0090,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I10RZ,TPW2,CI10R,EP,P,C,EE  ,L,   ,CF,Y,IPDZ,EP,P,I,      ,2824,0103,1020,0010,+,02300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I10RZ, ,CI10R,EP,P,C,E  I, ,   ,IF, ,IPDZ,EP,P,I,      ,2824,0103,    ,    ,J,02300,02300,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I10RZ, ,FI10R,EP,P,C,E  F, ,   ,CF, ,IPDZ,EP,P,I,      ,2824,0082,1020,0022,H,02300,02300,     , ,   ,-300,   ,TPW,EP,D, , ,0,D,S;
APPCH:030,I,I10RZ, ,RW10R,EP,P,G,G  M, ,   ,CF, ,IPDZ,EP,P,I,      ,2824,0023,1020,0059, ,00420,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I10RZ, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1020,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I10RZ, ,TPW,EP,D, ,VE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I28LY, ,CI2LY,EP,P,C,E  D, ,   ,IF, ,IPW,EP,P,I,      ,1024,0193,    ,    ,J,04000,02230,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I28LY, ,FI28L,EP,P,C,E  F, ,   ,CF, ,IPW,EP,P,I,      ,1024,0079,2820,0114,H,02230,02230,     , ,   ,-300,   ,TPW,EP,D, , ,0,D,S;
APPCH:030,I,I28LY, ,RW28L,EP,P,G,G  M, ,   ,CF, ,IPW,EP,P,I,      ,1024,0023,2820,0056, ,00436,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I28LY, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,2820,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I28LY, ,CI2LY,EP,P,C,EE H,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
