SID:005,4,KOGO4M,RW14C,DE14C,UU,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,UUDD,UU,P,A, , , , ;
SID:010,4,KOGO4M,RW14C,DD341,UU,P,C,EE  , ,   ,CF, ,DMD,UU,D, ,      ,1266,0077,1350,0076,B,05000,04000,     ,-,230,    ,   , , , , , , , , ;
SID:005,4,KOGO4M,RW14L,DE14L,UU,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,UUDD,UU,P,A, , , , ;
SID:010,4,KOGO4M,RW14L,DD400,UU,P,C,E   , ,   ,CF, ,DMD,UU,D, ,      ,1058,0044,1200,0035,B,03500,02000,     ,-,230,    ,   , , , , , , , , ;
SID:015,4,KOGO4M,RW14L,DD341,UU,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,05000,04000,     ,-,230,    ,   , , , , , , , , ;
SID:010,5,KOGO4M, ,DD341,UU,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,05000,04000,10000,-,230,    ,   ,UUDD,UU,P,A, , , , ;
SID:020,5,KOGO4M, ,OVZED,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,08000,06000,     , ,230,    ,   , , , , , , , , ;
SID:030,5,KOGO4M, ,DD322,UU,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,KOGO4M, ,BIPSI,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,KOGO4M, ,DAZGI,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL120,10000,     , ,250,    ,   , , , , , , , , ;
SID:060,5,KOGO4M, ,GEKLA,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL120,10000,     , ,250,    ,   , , , , , , , , ;
SID:070,5,KOGO4M, ,UNRUM,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL130,     ,     , ,270,    ,   , , , , , , , , ;
SID:080,5,KOGO4M, ,ABVIV,UU,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL140,FL130,     , ,270,    ,   , , , , , , , , ;
