SID:010,2,VK1,RW24B,D237C,EH,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,03000, ,   ,    ,   ,VKL,EH,D, , , , , ;
SID:020,2,VK1,RW24B, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2820,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,VK1,RW24B,D277I,EH,P,C,EY  , ,   ,CF, ,VKL,EH,D, ,      ,2770,0085,3270,0030, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,VK1,RW24B,D314M,EH,P,C,EY  , ,   ,CF, ,VKL,EH,D, ,      ,3140,0130,3590,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,VK1,RW24B,D359I,EH,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,VK1,RW24B,VKL,EH,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,VK2,RW24B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2360,    ,+,00480,     ,03000, ,   ,    ,   ,VKL,EH,D, , , , , ;
SID:010,2,VK2,RW24B,D226C,EH,P,C,E   , ,   ,CF, ,VKL,EH,D, ,      ,2260,0030,2260,0020, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,VK2,RW24B, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,3140,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,VK2,RW24B,D289J,EH,P,C,EY  , ,   ,CF, ,VKL,EH,D, ,      ,2890,0100,3590,0020, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,VK2,RW24B,D314M,EH,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,VK2,RW24B,D359J,EH,P,C,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,VK2,RW24B,VKL,EH,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,VK3,RW06B, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0560,    ,+,00480,     ,03000, ,   ,    ,   ,VKL,EH,D, , , , , ;
