APPCH:010,A,I18,KS600,KS600,LF,P,C,E CC, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL115,05100,     ,-,220,    ,   , , , , , ,0,D,S;
APPCH:020,A,I18,KS600,D033R,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I18,KS600,D003R,LF,P,C,EY  ,L,   ,AF, ,SZA,LF,D, ,      ,0030,0180,0330,    , ,05100,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I18,KS600,D357Q,LF,P,C,E   , ,   ,CF, ,SZA,LF,D, ,      ,3570,0170,1760,0010, ,05100,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,A,I18,KS600,CI18,LF,P,C,EE B, ,   ,CF, ,SZA,LF,P,I,      ,3560,0147,1760,0040,+,03700,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I18,SZA,SZA,LF,D, ,V CA, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I18,SZA,KS600,LF,P,C,E C , ,   ,CF, ,SZA,LF,D, ,      ,0330,0150,0330,0150,B,FL115,05100,     ,-,220,    ,   , , , , , ,0,D,S;
APPCH:030,A,I18,SZA,D033R,LF,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:040,A,I18,SZA,D003R,LF,P,C,EY  ,L,   ,AF, ,SZA,LF,D, ,      ,0030,0180,0330,    , ,05100,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,A,I18,SZA,D357Q,LF,P,C,E   , ,   ,CF, ,SZA,LF,D, ,      ,3570,0170,1760,0010, ,05100,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,A,I18,SZA,CI18,LF,P,C,EE B, ,   ,CF, ,SZA,LF,P,I,      ,3560,0147,1760,0040,+,03700,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I18, ,CI18,LF,P,C,E  I, ,   ,IF, ,SZA,LF,P,I,      ,3560,0147,    ,    ,J,03700,03100,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I18, ,FI18,LF,P,C,E  F, ,   ,CF, ,SZA,LF,P,I,      ,3560,0111,1760,0036,G,03100,03100,     , ,   ,-300,   ,SZA,LF,D, ,B,0,D,S;
APPCH:030,I,I18, ,RW18,LF,P,G,G  M, ,   ,CF, ,SZA,LF,P,I,      ,3559,0016,1760,0095, ,00076,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I18, ,RW18,LF,P,G,G M , ,   ,FD, ,SZA,LF,D, ,      ,1036,0003,1760,0030, ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I18, , , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,3520,    , ,     ,     ,     ,-,200,    ,   , , , , , ,0,D,S;
APPCH:060,I,I18, ,SZA,LF,D, ,VE  , ,   ,FM, ,SZA,LF,D, ,      ,0000,0000,0330,    , ,05100,     ,     , ,   ,    ,   , , , , , ,0,D,S;
