SID:060,2,ANTO4A,RW14,SD313,FM,P,C,E   ,L,   ,AF, ,SDG,FM,D, ,      ,3134,0300,3600,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,ANTO4A,RW14,ANTOL,FM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ANTO4B,RW32, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3150,    ,+,00470,     ,12000, ,   ,    ,   ,SDG,FM,D, ,B, , , ;
SID:020,2,ANTO4B,RW32, , , , ,    , ,   ,CD, ,SDG,FM,D, ,      ,    ,    ,3200,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ANTO4B,RW32, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2830,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ANTO4B,RW32,SDG,FM,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ANTO4B,RW32,ANTOL,FM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ANTO4C,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1060,    ,+,00470,     ,12000,-,205,    ,   ,SDG,FM,D, ,B, , , ;
SID:030,2,ANTO4C,RW12, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,3250,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ANTO4C,RW12,D010X,FM,P,C,EY  , ,   ,CF, ,SDG,FM,D, ,      ,0100,0240,0100,0200, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,ANTO4C,RW12, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,3100,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
