SID:020,2,PKN1A,RW13, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,3050,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PKN1A,RW13,SPT,WA,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,PKN1A,RW13,PKN,WA,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PKN1B,RW31, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3110,    ,+,01500,     ,11000, ,   ,    ,   ,SPT,WA,D, , , , , ;
SID:020,2,PKN1B,RW31, , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,2150,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PKN1B,RW31,SPT,WA,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,PKN1B,RW31,PKN,WA,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PKY1A,RW13, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,1310,    ,+,01500,     ,11000, ,   ,    ,   ,SPT,WA,D, , , , , ;
SID:020,2,PKY1A,RW13, , , , ,    ,L,   ,VI, , , , , ,      ,    ,    ,0300,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PKY1A,RW13,PKY,WA,D, ,VE  , ,   ,CF, ,SPT,WA,D, ,      ,0748,0607,0750,0540, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,PKY1B,RW31, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,3110,    ,+,01500,     ,11000, ,   ,    ,   ,SPT,WA,D, , , , , ;
SID:020,2,PKY1B,RW31, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,1200,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,PKY1B,RW31,PKY,WA,D, ,VE  , ,   ,CF, ,SPT,WA,D, ,      ,0748,0607,0750,0550, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,AJAM1E,RW13,AJAMA,WA,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,13000, ,   ,    ,   ,SPT,WA,D, , , , , ;
STAR:020,2,AJAM1E,RW13,PKY,WA,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,AJAM1E,RW13,SPT,WA,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,AJAM1E,RW13,NIBUN,WA,P,C,EECH, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,AJAM1F,RW31,AJAMA,WA,E,A,E C , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,13000, ,   ,    ,   ,SPT,WA,D, , , , , ;
STAR:020,2,AJAM1F,RW31,PKY,WA,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,AJAM1F,RW31,SP30A,WA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
