SID:010,2,EGVO1G,RW25, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2500,    ,+,05300,     ,11500, ,   ,    ,   ,ARB,OI,D,B, , , , ;
SID:020,2,EGVO1G,RW25,ARB,OI,D,B,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EGVO1G,RW25, , , , ,    ,R,   ,VI,Y, , , , ,      ,    ,    ,2880,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,EGVO1G,RW25,EGVON,OI,E,A,EEC , ,   ,CF, ,ARB,OI,D, ,      ,2602,0251,2580,0200, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EGVO1H,RW07, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0700,    ,+,05300,     ,11500, ,   ,    ,   ,ARB,OI,D,B, , , , ;
SID:020,2,EGVO1H,RW07,ARB,OI,D,B,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EGVO1H,RW07,EGVON,OI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EGVO1J,RW33, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3250,    ,+,04720,     ,11500, ,   ,    ,   ,ARB,OI,D, , , , , ;
SID:020,2,EGVO1J,RW33,ARB,OI,D, ,V   , ,   ,FA, ,ARB,OI,D, ,      ,0000,0000,3260,    ,+,08200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,EGVO1J,RW33,ARB,OI,D, ,VY  ,L,   ,CF,Y,ARB,OI,D, ,      ,0000,0000,1100,0080,+,FL120,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,EGVO1J,RW33,EGVON,OI,E,A,EEC ,R,   ,TF,Y, , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,EGVO1L,RW15, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1450,    ,+,04720,     ,11500, ,   ,    ,   ,ARB,OI,D, , , , , ;
