APPCH:010,A,I23-Z,BHU1,BHU,VA,D, ,V  H, ,   ,FD, ,BHU,VA,D, ,      ,0000,0000,0730,0090,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I23-Z,BHU1,CI23,VA,P,C,EE  ,L,   ,CF,Y,IBUJ,VA,P,I,      ,0450,0091,2250,0010,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,A,I23-Z,BHU2,BHU,VA,D, ,V  H, ,   ,FD, ,BHU,VA,D, ,      ,0000,0000,0570,0090,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I23-Z,BHU2,CI23,VA,P,C,EE  ,L,   ,CF,Y,IBUJ,VA,P,I,      ,0450,0091,2250,0010,+,02000,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:010,I,I23-Z, ,CI23,VA,P,C,E  I, ,   ,IF, ,IBUJ,VA,P,I,      ,0450,0091,    ,    ,J,02000,02000,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,I,I23-Z, ,FI23,VA,P,C,E  F, ,   ,CF, ,IBUJ,VA,P,I,      ,0450,0071,2250,0020,H,02000,02000,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:030,I,I23-Z, ,RW23,VA,P,G,G  M, ,   ,CF, ,IBUJ,VA,P,I,      ,0450,0017,2250,0054, ,00293,     ,     , ,   ,-300,   , , , , , ,0,D,S;
APPCH:040,I,I23-Z, ,RW23,VA,P,G,G M , ,   ,FA, ,BHU,VA,D, ,      ,0382,0013,2250,    ,+,02800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:050,I,I23-Z, ,BHU,VA,D, ,V   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:060,I,I23-Z, ,BHU,VA,D, ,VE H,R,   ,HM, , , , , ,      ,    ,    ,0730,T010,+,02800,     ,     , ,   ,    ,   , , , , , ,0,D,S;
RWY:RW05 ,     ,      ,00270, ,    , ,   ;N23164527,E069393891,0000;
RWY:RW23 ,     ,      ,00243, ,IBUJ,1,   ;N23174872,E069404768,0000;
