SID:010,5,ABKO1C,RW03,KK019,US,P,C,EYC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01130,     ,02790,-,225,    ,   ,USKK,US,P,A, , , , ;
SID:020,5,ABKO1C,RW03,ABKOS,US,E,A,EEC ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ABKO1D,RW21,KK018,US,P,C,EYC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01130,     ,02790,-,225,    ,   ,USKK,US,P,A, , , , ;
SID:020,5,ABKO1D,RW21,ABKOS,US,E,A,EEC ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,ABKO1G,RW03,DER03,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,02790, ,   ,    ,   ,USKK,US,P,A, , , , ;
SID:010,2,ABKO1G,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0330,    ,+,01130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ABKO1G,RW03, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,2600,    , ,     ,     ,     ,-,215,    ,   , , , , , , , , ;
SID:030,2,ABKO1G,RW03,ABKOS,US,E,A,EEC , ,   ,CF, ,EKB,US,D, ,      ,2788,3962,3320,0190,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,ABKO1H,RW21,DER21,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,02790, ,   ,    ,   ,USKK,US,P,A, , , , ;
SID:010,2,ABKO1H,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2130,    ,+,01130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ABKO1H,RW21,XA,US,P,N,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,215,    ,   , , , , , , , , ;
SID:030,2,ABKO1H,RW21,ABKOS,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ASTA1C,RW03,KK019,US,P,C,EYC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01130,     ,02790,-,225,    ,   ,USKK,US,P,A, , , , ;
SID:020,5,ASTA1C,RW03,ASTAK,US,E,A,EEC ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ASTA1D,RW21,KK018,US,P,C,EYC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01130,     ,02790,-,225,    ,   ,USKK,US,P,A, , , , ;
SID:020,5,ASTA1D,RW21,ASTAK,US,E,A,EEC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,ASTA1G,RW03,DER03,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,02790, ,   ,    ,   ,USKK,US,P,A, , , , ;
SID:010,2,ASTA1G,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0330,    ,+,01130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ASTA1G,RW03,OR,US,P,N,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,215,    ,   , , , , , , , , ;
SID:030,2,ASTA1G,RW03,ASTAK,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,ASTA1H,RW21,DER21,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,02790, ,   ,    ,   ,USKK,US,P,A, , , , ;
SID:010,2,ASTA1H,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2130,    ,+,01130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,ASTA1H,RW21, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1750,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ASTA1H,RW21,ASTAK,US,E,A,EEC , ,   ,CF, ,EKB,US,D, ,      ,2721,3942,1980,0220,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,KURU1C,RW03,KK019,US,P,C,EYC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01130,     ,02790,-,225,    ,   ,USKK,US,P,A, , , , ;
SID:020,5,KURU1C,RW03,KK021,US,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,KURU1C,RW03,KURUP,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,KURU1D,RW21,KK018,US,P,C,EYC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01130,     ,02790,-,225,    ,   ,USKK,US,P,A, , , , ;
SID:020,5,KURU1D,RW21,KK020,US,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL050,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,KURU1D,RW21,KURUP,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,KURU1G,RW03,DER03,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,02790, ,   ,    ,   ,USKK,US,P,A, , , , ;
SID:010,2,KURU1G,RW03, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0330,    ,+,01130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,KURU1G,RW03, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1040,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KURU1G,RW03,KURUP,US,E,A,EEC , ,   ,CF, ,EKB,US,D, ,      ,2773,3587,0620,0210,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,2,KURU1H,RW21,DER21,US,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,02790, ,   ,    ,   ,USKK,US,P,A, , , , ;
SID:010,2,KURU1H,RW21, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2130,    ,+,01130,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,KURU1H,RW21,XA,US,P,N,E   ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,215,    ,   , , , , , , , , ;
SID:030,2,KURU1H,RW21,KURUP,US,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL070,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,LESO1C,RW03,KK019,US,P,C,EYC , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01130,     ,02790,-,225,    ,   ,USKK,US,P,A, , , , ;
