APPCH:010,A,D36-Z,JJU1,JJU,VI,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,D36-Z,JJU1,JJU,VI,D, ,V   , ,   ,FD, ,JJU,VI,D, ,      ,0000,0000,1510,0065,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D36-Z,JJU1,FD36Z,VI,P,C,EE  ,R,   ,CF,Y,JJU,VI,D, ,      ,1710,0055,3510,0020,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D36-Z,JJU2,JJU,VI,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:020,A,D36-Z,JJU2,JJU,VI,D, ,V   , ,   ,FD, ,JJU,VI,D, ,      ,0000,0000,1590,0065,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D36-Z,JJU2,FD36Z,VI,P,C,EE  ,R,   ,CF,Y,JJU,VI,D, ,      ,1710,0055,3510,0020,+,02600,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D36-Z, ,FD36Z,VI,P,C,E  F, ,   ,IF, ,JJU,VI,D, ,      ,1710,0055,    ,    ,+,02600,     ,     , ,   ,    ,   ,JJU,VI,D, ,B,0, ,S;
APPCH:030,D,D36-Z, ,MD36Z,VI,P,C,E  M, ,   ,CF, ,JJU,VI,D, ,      ,1710,0017,3510,0038, ,01376,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D36-Z, ,MD36Z,VI,P,C,E M , ,   ,FD, ,JJU,VI,D, ,      ,1710,0017,3400,0040, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D36-Z, ,JJU,VI,D, ,V   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,04100,     ,     ,-,185,    ,   , , , , , ,0, ,S;
APPCH:060,D,D36-Z, ,JJU,VI,D, ,VE H,L,   ,HM, , , , , ,      ,    ,    ,1510,T010,+,04100,     ,     ,-,220,    ,   , , , , , ,0, ,S;
APPCH:010,A,I36,JJU1,JJU,VI,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04100,     ,     ,-,185,    ,   , , , , , ,0,D,S;
APPCH:020,A,I36,JJU1,JJU,VI,D, ,V   , ,   ,FD, ,JJU,VI,D, ,      ,0000,0000,1550,0065,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I36,JJU1,CI36,VI,P,C,EE  ,R,   ,CF,Y,IJMU,VI,P,I,      ,1750,0075,3550,0010,+,02600,     ,     , ,   ,    ,   , , , , , ,0,D,S;
