SID:010,2,BD1D,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1180,    ,+,02580,     ,05300, ,   ,    ,   ,UIII,UI,P,A,A, , , ;
SID:020,2,BD1D,RW12,D027D,UI,P,C,E   ,L,   ,CF,Y,IKT,UI,D, ,      ,3438,0060,2970,0060,+,05300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BD1D,RW12,BD,UI,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BD1E,RW12, , , , ,    , ,   ,CD, ,IKT,UI,D, ,      ,    ,    ,1180,0037, ,     ,     ,05300, ,   ,    ,   ,UIII,UI,P,A,A, , , ;
SID:020,2,BD1E,RW12,D027D,UI,P,C,EY  ,L,   ,CF,Y,IKT,UI,D, ,      ,3438,0060,2970,0080,+,05300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BD1E,RW12,BD,UI,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BD2D,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1180,    ,+,02580,     ,05300, ,   ,    ,   ,UIII,UI,P,A,A, , , ;
SID:020,2,BD2D,RW12,BD,UI,D,B,EE  ,R,   ,CF,Y,IKT,UI,D, ,      ,2882,0467,2930,0480,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BD2E,RW12, , , , ,    , ,   ,CD, ,IKT,UI,D, ,      ,    ,    ,1180,0037, ,     ,     ,05300, ,   ,    ,   ,UIII,UI,P,A,A, , , ;
SID:020,2,BD2E,RW12,BD,UI,D,B,EE  ,R,   ,CF,Y,IKT,UI,D, ,      ,2882,0467,2930,0500,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,BD4C,RW12,DER12,UI,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05300, ,   ,    ,   ,UIII,UI,P,A,B, , , ;
SID:010,5,BD4C,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1180,    ,+,02580,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,BD4C,RW12,II027,UI,P,C,E   ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,B,FL090,FL080,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BD4C,RW12,II029,UI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BD4C,RW12,II030,UI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BD4C,RW12,BD,UI,D,B,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BD4D,RW30,DER30,UI,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05300, ,   ,    ,   ,UIII,UI,P,A,B, , , ;
SID:020,5,BD4D,RW30,II033,UI,P,C,EY  , ,   ,CF, ,IKT,UI,D, ,      ,2975,0047,2980,0020, ,     ,     ,     ,-,215,    ,   , , , , , , , , ;
SID:030,5,BD4D,RW30,II040,UI,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,245,    ,   , , , , , , , , ;
SID:040,5,BD4D,RW30,II035,UI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BD4D,RW30,BD,UI,D,B,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BD4F,RW30,DER30,UI,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05300, ,   ,    ,   ,IR,UI,P,N, , , , ;
SID:020,2,BD4F,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2980,    ,+,02110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,BD4F,RW30, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0080,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:027,2,BD4F,RW30,BD,UI,D,B,EE  ,L,   ,CF, ,IKT,UI,D, ,      ,2882,0467,2770,0430,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BD4W,RW30,DER30,UI,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05300, ,   ,    ,   ,IR,UI,P,N, , , , ;
SID:020,2,BD4W,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2980,    ,+,02110,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BD4W,RW30,BD,UI,D,B,EE  , ,   ,CF, ,IKT,UI,D, ,      ,2882,0467,2870,0430,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BD4Z,RW12,DER12,UI,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,05300, ,   ,    ,   ,UIII,UI,P,A,B, , , ;
SID:020,5,BD4Z,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1180,    ,+,02580,     ,     ,-,265,    ,   , , , , , , , , ;
SID:030,5,BD4Z,RW12,BD,UI,D,B,EEC ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BOGR1D,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1180,    ,+,02580,     ,05300, ,   ,    ,   ,UIII,UI,P,A,A, , , ;
