SID:010,1,OMNI,RW06, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0670,    ,+,01000,     ,04000, ,   ,    ,   ,SBPK,SB,P,A, , , , ;
SID:020,1,OMNI,RW06, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,0670,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,OMNI,RW24, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2470,    ,+,01000,     ,04000, ,   ,    ,   ,SBPK,SB,P,A, , , , ;
SID:020,1,OMNI,RW24, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2470,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
APPCH:010,A,D06,AKPUB,AKPUB,SB,P,C,E  C, ,   ,IF, ,PTS,SB,D, ,      ,0642,0100,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D06,AKPUB,BUTIG,SB,P,C,E   ,L,   ,AF, ,PTS,SB,D, ,      ,0001,0100,0640,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D06,AKPUB,MUGEB,SB,P,C,EE B,L,   ,AF, ,PTS,SB,D, ,      ,2496,0100,3600,    ,+,02100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D06, ,MUGEB,SB,P,C,E  I, ,   ,IF, ,PTS,SB,D, ,      ,2496,0100,    ,    ,+,02100,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D06, ,ISTOP,SB,P,C,E  F, ,   ,CF, ,PTS,SB,D, ,      ,2494,0050,0690,0050,+,01550,     ,     , ,   ,    ,   ,PTS,SB,D, , ,0, ,S;
APPCH:030,D,D06, ,PK014,SB,P,C,E  M, ,   ,CF, ,PTS,SB,D, ,      ,2462,0003,0690,0047, ,00108,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D06, ,AKPUB,SB,P,C,E M , ,   ,CF, ,PTS,SB,D, ,      ,0642,0100,0640,0103,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D06, ,AKPUB,SB,P,C,EE H,L,   ,HM, , , , , ,      ,    ,    ,2440,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D24,OPLAX,OPLAX,SB,P,C,E  C, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D24,OPLAX,BUTIG,SB,P,C,E   ,R,   ,AF, ,PTS,SB,D, ,      ,0001,0100,2400,    ,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D24,OPLAX,AKPUB,SB,P,C,EE B,R,   ,AF, ,PTS,SB,D, ,      ,0642,0100,3600,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D24, ,AKPUB,SB,P,C,E  I, ,   ,IF, ,PTS,SB,D, ,      ,0642,0100,    ,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D24, ,EKILO,SB,P,C,E  F, ,   ,CF, ,PTS,SB,D, ,      ,0643,0056,2440,0044,+,01700,     ,     , ,   ,    ,   ,PTS,SB,D, , ,0, ,S;
APPCH:030,D,D24, ,PK013,SB,P,C,E  M, ,   ,CF, ,PTS,SB,D, ,      ,0661,0006,2440,0050, ,00105,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,D,D24, ,OPLAX,SB,P,C,E M , ,   ,CF, ,PTS,SB,D, ,      ,2403,0100,2400,0106,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D24, ,OPLAX,SB,P,C,EE H,L,   ,HM, , , , , ,      ,    ,    ,2400,T010,+,03000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,R06-W,PK001,PK001,SB,P,C,E  C, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03700,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R06-W,PK001,PK004,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R06-W,PK002,PK002,SB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03700,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R06-W,PK002,PK004,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,A,R06-W,PK003,PK003,SB,P,C,E  A, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,03700,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,A,R06-W,PK003,PK004,SB,P,C,EE B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:010,R,R06-W, ,PK004,SB,P,C,E  I, ,010,IF, , , , , ,      ,    ,    ,    ,    ,+,02200,     ,     , ,   ,    ,   , , , , , ,B,J,S;
APPCH:020,R,R06-W, ,PK006,SB,P,C,E  F, ,010,TF, , , , , ,      ,    ,    ,0670,0050,+,01700,     ,     , ,   ,    ,   , , , , , ,B,J,S;
PRDAT: ,          ,A, LNAV/VNAV,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
