SID:010,4,CWARD2,RW08L,GYWNN,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,CWARD2,RW08L,PADRZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,CWARD2,RW08L,CWARD,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,CWARD2,RW26R,GYWNN,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,CWARD2,RW26R,PADRZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,CWARD2,RW26R,CWARD,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,12000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,CWARD2,LAX,CWARD,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,12000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,CWARD2,LAX,LAX,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,CWARD2,SLI,CWARD,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,-,12000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,CWARD2,SLI,MADOW,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,CWARD2,SLI,SLI,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,PADRZ2,RW08L,GYWNN,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,PADRZ2,RW08L,PADRZ,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,PADRZ2,RW26R,GYWNN,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,PADRZ2,RW26R,PADRZ,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,PADRZ2,CHKNN,PADRZ,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,PADRZ2,CHKNN,HFMNN,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,PADRZ2,CHKNN,CHKNN,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
