SID:020,2,ENES3L,RW18R, , , , ,    , ,   ,CD, ,ARA,LG,D, ,      ,    ,    ,1790,0100,+,03500,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:030,2,ENES3L,RW18R, , , , ,    , ,   ,CD, ,ARA,LG,D, ,      ,    ,    ,1790,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,ENES3L,RW18R,ARA,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,ENES3L,RW18R, , , , ,    ,L,   ,CI,Y, , , , ,      ,    ,    ,2310,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:060,2,ENES3L,RW18R,D276Y,LG,P,C,E   , ,   ,CF, ,ARA,LG,D, ,      ,2759,0250,2760,0200,+,FL160,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,ENES3L,RW18R,ENESI,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ENES3M,RW36L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3590,    ,+,02300,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:020,2,ENES3M,RW36L,ARA,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,ENES3M,RW36L,D276Y,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL160,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,ENES3M,RW36L,ENESI,LG,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,GART3L,RW18R, , , , ,    , ,   ,CD, ,ARA,LG,D, ,      ,    ,    ,1790,0100,+,03500,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:030,2,GART3L,RW18R, , , , ,    , ,   ,CD, ,ARA,LG,D, ,      ,    ,    ,1790,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,GART3L,RW18R,ARA,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,GART3L,RW18R,D333N,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     ,-,230,    ,   , , , , , , , , ;
SID:060,2,GART3L,RW18R,GARTA,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,GART3M,RW36L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3590,    ,+,02300,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:020,2,GART3M,RW36L,ARA,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,GART3M,RW36L, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,0180,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,GART3M,RW36L,D333N,LG,P,C,E   , ,   ,CF, ,ARA,LG,D, ,      ,3325,0140,3330,0100,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,GART3M,RW36L,GARTA,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,IXON3L,RW18R, , , , ,    , ,   ,CD, ,ARA,LG,D, ,      ,    ,    ,1790,0100,+,03500,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:030,2,IXON3L,RW18R, , , , ,    , ,   ,CD, ,ARA,LG,D, ,      ,    ,    ,1790,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,IXON3L,RW18R,ARA,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,IXON3L,RW18R,D072J,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL090,     ,     ,-,230,    ,   , , , , , , , , ;
SID:060,2,IXON3L,RW18R,D072R,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,IXON3L,RW18R,IXONI,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,IXON3M,RW36L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3590,    ,+,02300,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:020,2,IXON3M,RW36L,ARA,LG,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,IXON3M,RW36L, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,0270,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,IXON3M,RW36L,D072J,LG,P,C,E   , ,   ,CF, ,ARA,LG,D, ,      ,0719,0100,0720,0080,+,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,IXON3M,RW36L,D072R,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,2,IXON3M,RW36L,IXONI,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,KOR3L,RW18R, , , , ,    , ,   ,CD, ,ARA,LG,D, ,      ,    ,    ,1790,0100,+,03500,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:030,2,KOR3L,RW18R, , , , ,    , ,   ,CD, ,ARA,LG,D, ,      ,    ,    ,1790,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KOR3L,RW18R,ARA,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,KOR3L,RW18R, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,1410,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:060,2,KOR3L,RW18R,D096N,LG,P,C,E   , ,   ,CF, ,ARA,LG,D, ,      ,0964,0140,0960,0100,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,KOR3L,RW18R,KOR,LG,D,B,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KOR3M,RW36L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3590,    ,+,02300,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:020,2,KOR3M,RW36L,ARA,LG,D, ,VY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,KOR3M,RW36L,D096N,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     ,-,230,    ,   , , , , , , , , ;
SID:040,2,KOR3M,RW36L,KOR,LG,D,B,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,NEME4L,RW18R, , , , ,    , ,   ,CD, ,ARA,LG,D, ,      ,    ,    ,1790,0100,+,03500,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:030,2,NEME4L,RW18R, , , , ,    , ,   ,CD, ,ARA,LG,D, ,      ,    ,    ,1790,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,NEME4L,RW18R,ARA,LG,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     ,-,210,    ,   , , , , , , , , ;
SID:050,2,NEME4L,RW18R, , , , ,    ,R,   ,CI, , , , , ,      ,    ,    ,1570,    , ,     ,     ,     ,-,230,    ,   , , , , , , , , ;
SID:060,2,NEME4L,RW18R,D112N,LG,P,C,E   , ,   ,CF, ,ARA,LG,D, ,      ,1120,0140,1120,0100,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,2,NEME4L,RW18R,D112Z,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:080,2,NEME4L,RW18R,NEMES,LG,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
