APPCH:010,A,D03,GTF,GTF,K1,D, ,V  A,R,   ,PI, ,GTF,K1,D, ,      ,0000,0000,1638,0100,+,06300,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D03,GTF,FIGMU,K1,P,C,EE  , ,   ,CF, ,GTF,K1,D, ,      ,2088,0038,0288,0060,+,04800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D03,JAYKE,JAYKE,K1,E,A,E  A, ,   ,IF, ,GTF,K1,D, ,      ,0912,0110,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D03,JAYKE,BILTE,K1,P,C,E  B,R,   ,AF, ,GTF,K1,D, ,      ,2088,0110,0912,    ,+,06300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D03,JAYKE,FIGMU,K1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,D03,KYELL,KYELL,K1,E,A,E  A, ,   ,IF, ,GTF,K1,D, ,      ,3151,0110,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,D03,KYELL,BILTE,K1,P,C,E  B,L,   ,AF, ,GTF,K1,D, ,      ,2088,0110,3151,    ,+,06300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,D03,KYELL,FIGMU,K1,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,04800,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,D,D03, ,FIGMU,K1,P,C,E  I, ,   ,IF, ,GTF,K1,D, ,      ,2088,0038,    ,    ,+,04800,     ,18000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,D,D03, ,GTF,K1,D, ,V  F, ,   ,CF, ,GTF,K1,D, ,      ,0000,0000,0288,0038,+,04400,     ,     , ,   ,    ,   ,GTF,K1,D, ,B,0, ,S;
APPCH:030,D,D03, ,RW03,K1,P,G,GY M, ,   ,CF, ,GTF,K1,D, ,      ,0288,0016,0288,0016, ,03751,     ,     , ,   ,-373,   , , , , , ,0, ,S;
APPCH:040,D,D03, ,RW03,K1,P,G,G M , ,   ,FA, ,GTF,K1,D, ,      ,0288,0016,0290,    ,+,05000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,D,D03, ,GTF,K1,D, ,VY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,06300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,D,D03, ,GTF,K1,D, ,VE  ,R,   ,HM, , , , , ,      ,    ,    ,2088,T010,+,06300,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,H03-Z,JAYKE,JAYKE,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H03-Z,JAYKE,BELLT,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05700,     ,     ,-,180,    ,   , , , , , ,A,F,S;
APPCH:030,A,H03-Z,JAYKE,AUERR,K1,P,C,E   ,R,010,RF, , , , , ,002600,2442,    ,3020,0026,+,05100,     ,     , ,   ,    ,   ,CFRKN,K1,P,C, ,A,F,S;
APPCH:040,A,H03-Z,JAYKE,TESTR,K1,P,C,EE  ,R,051,RF, , , , , ,002600,3020,    ,0320,0041,+,04700,     ,     , ,   ,    ,   ,CFRKN,K1,P,C, ,A,F,S;
APPCH:010,A,H03-Z,KYELL,KYELL,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H03-Z,KYELL,DVINT,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05300,     ,     ,-,180,    ,   , , , , , ,A,F,S;
APPCH:030,A,H03-Z,KYELL,MUDLR,K1,P,C,E   ,L,091,RF, , , , , ,002800,1699,    ,0827,0043,+,05200,     ,     ,-,180,    ,   ,CFVDM,K1,P,C, ,A,F,S;
APPCH:040,A,H03-Z,KYELL,TESTR,K1,P,C,EE  ,L,091,RF, , , , , ,002800,0827,    ,0320,0025,+,04700,     ,     , ,   ,    ,   ,CFVDM,K1,P,C, ,A,F,S;
APPCH:010,A,H03-Z,MSURY,MSURY,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H03-Z,MSURY,DCEEE,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05200,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:030,A,H03-Z,MSURY,TESTR,K1,P,C,EE  , ,031,TF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:010,A,H03-Z,PSHKN,PSHKN,K1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H03-Z,PSHKN,HANTZ,K1,P,C,E  A, ,020,TF, , , , , ,      ,    ,    ,    ,    ,+,06700,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:030,A,H03-Z,PSHKN,KEPPR,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05400,     ,     ,-,180,    ,   , , , , , ,A,F,S;
APPCH:040,A,H03-Z,PSHKN,DVINT,K1,P,C,E   ,L,091,RF, , , , , ,002800,2086,    ,1699,0019,+,05300,     ,     ,-,180,    ,   ,CFVDM,K1,P,C, ,A,F,S;
APPCH:050,A,H03-Z,PSHKN,MUDLR,K1,P,C,E   ,L,091,RF, , , , , ,002800,1699,    ,0827,0043,+,05200,     ,     ,-,180,    ,   ,CFVDM,K1,P,C, ,A,F,S;
APPCH:060,A,H03-Z,PSHKN,TESTR,K1,P,C,EE  ,L,091,RF, , , , , ,002800,0827,    ,0320,0025,+,04700,     ,     , ,   ,    ,   ,CFVDM,K1,P,C, ,A,F,S;
APPCH:010,A,H03-Z,SHIMY,SHIMY,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H03-Z,SHIMY,NIMPH,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06300,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:030,A,H03-Z,SHIMY,MUDLR,K1,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05200,     ,     ,-,180,    ,   , , , , , ,A,F,S;
APPCH:040,A,H03-Z,SHIMY,TESTR,K1,P,C,EE  ,L,091,RF, , , , , ,002800,0827,    ,0320,0025,+,04700,     ,     , ,   ,    ,   ,CFVDM,K1,P,C, ,A,F,S;
APPCH:020,H,H03-Z, ,TESTR,K1,P,C,E  F, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,18000, ,   ,    ,   ,RW03,K1,P,G, ,A,F,S;
PRDAT: ,          , ,          , ,          ,A,031,A,011, ,   , ,   ,F,S;
APPCH:030,H,H03-Z, ,RW03,K1,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,    ,    , ,03734,     ,     , ,   ,-300,   , , , , , ,A,F,S;
APPCH:040,H,H03-Z, ,DEELM,K1,P,C,E M , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:050,H,H03-Z, ,PSHKN,K1,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06200,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:060,H,H03-Z, ,PSHKN,K1,E,A,EE  ,R,   ,HM, , , , , ,      ,    ,    ,2117,0070,+,06200,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:010,A,H21-Z,BRADZ,BRADZ,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H21-Z,BRADZ,WOLLY,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:030,A,H21-Z,BRADZ,DRFTR,K1,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05400,     ,     ,-,180,    ,   , , , , , ,A,F,S;
APPCH:040,A,H21-Z,BRADZ,KUDEY,K1,P,C,EE  ,R,010,RF, , , , , ,002700,1276,    ,2121,0040,+,04700,     ,     , ,   ,    ,   ,CFFPD,K1,P,C, ,A,F,S;
APPCH:010,A,H21-Z,DATSA,DATSA,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H21-Z,DATSA,KEPPR,K1,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:030,A,H21-Z,DATSA,JANON,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     ,-,180,    ,   , , , , , ,A,F,S;
APPCH:040,A,H21-Z,DATSA,DRFTR,K1,P,C,E   ,R,010,RF, , , , , ,002700,0333,    ,1276,0044,+,05400,     ,     ,-,180,    ,   ,CFFPD,K1,P,C, ,A,F,S;
APPCH:050,A,H21-Z,DATSA,KUDEY,K1,P,C,EE  ,R,010,RF, , , , , ,002700,1276,    ,2121,0040,+,04700,     ,     , ,   ,    ,   ,CFFPD,K1,P,C, ,A,F,S;
APPCH:010,A,H21-Z,PSHKN,PSHKN,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H21-Z,PSHKN,DRYFT,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05100,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:030,A,H21-Z,PSHKN,KUDEY,K1,P,C,EE  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:010,A,H21-Z,TUCKB,TUCKB,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H21-Z,TUCKB,KEPPR,K1,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:030,A,H21-Z,TUCKB,JANON,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05500,     ,     ,-,180,    ,   , , , , , ,A,F,S;
APPCH:040,A,H21-Z,TUCKB,DRFTR,K1,P,C,E   ,R,010,RF, , , , , ,002700,0333,    ,1276,0044,+,05400,     ,     ,-,180,    ,   ,CFFPD,K1,P,C, ,A,F,S;
APPCH:050,A,H21-Z,TUCKB,KUDEY,K1,P,C,EE  ,R,010,RF, , , , , ,002700,1276,    ,2121,0040,+,04700,     ,     , ,   ,    ,   ,CFFPD,K1,P,C, ,A,F,S;
APPCH:010,A,H21-Z,URELE,URELE,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H21-Z,URELE,ROWER,K1,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:030,A,H21-Z,URELE,PADDL,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05900,     ,     ,-,180,    ,   , , , , , ,A,F,S;
APPCH:040,A,H21-Z,URELE,WEDAR,K1,P,C,E   ,L,010,RF, , , , , ,002700,0077,    ,2950,0034,+,05100,     ,     ,-,180,    ,   ,CFFPF,K1,P,C, ,A,F,S;
APPCH:050,A,H21-Z,URELE,KUDEY,K1,P,C,EE  ,L,010,RF, , , , , ,002700,2950,    ,2121,0039,+,04700,     ,     , ,   ,    ,   ,CFFPF,K1,P,C, ,A,F,S;
APPCH:010,A,H21-Z,YOGOS,YOGOS,K1,E,A,E  A, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,F,S;
APPCH:020,A,H21-Z,YOGOS,ZILEP,K1,P,C,E  B, ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,06100,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:030,A,H21-Z,YOGOS,WEDAR,K1,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,05100,     ,     ,-,180,    ,   , , , , , ,A,F,S;
APPCH:040,A,H21-Z,YOGOS,KUDEY,K1,P,C,EE  ,L,010,RF, , , , , ,002700,2950,    ,2121,0039,+,04700,     ,     , ,   ,    ,   ,CFFPF,K1,P,C, ,A,F,S;
APPCH:020,H,H21-Z, ,KUDEY,K1,P,C,E  F, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,18000, ,   ,    ,   ,RW21,K1,P,G, ,A,F,S;
PRDAT: ,          , ,          , ,          ,A,031,A,011, ,   , ,   ,F,S;
APPCH:030,H,H21-Z, ,RW21,K1,P,G,GY M, ,031,TF, , , , , ,      ,    ,    ,    ,    , ,03718,     ,     , ,   ,-300,   , , , , , ,A,F,S;
APPCH:040,H,H21-Z, ,ZETNI,K1,P,C,E M , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:050,H,H21-Z, ,UPIGY,K1,P,C,E   ,R,010,RF, , , , , ,007000,2120,    ,2711,0072, ,     ,     ,     , ,   ,    ,   ,CFFPG,K1,P,C, ,A,F,S;
APPCH:060,H,H21-Z, ,TUCKB,K1,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:070,H,H21-Z, ,TUCKB,K1,E,A,EE  ,L,   ,HM, , , , , ,      ,    ,    ,0612,0070,+,08000,     ,     , ,   ,    ,   , , , , , ,A,F,S;
APPCH:010,A,I03,GTF,GTF,K1,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,0,D,S;
APPCH:020,A,I03,GTF,FRYMN,K1,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
APPCH:030,A,I03,GTF,FRYMN,K1,P,C,EE A,L,   ,HF, ,ISMR,K1,P,I,      ,2120,0169,0320,T010,+,08300,     ,     , ,   ,    ,   , , , , , ,0,D,S;
