RWY:RW01 ,00000,      ,00000, ,    , ,   ;N58380342,W156343265,0000;
RWY:RW07 ,00000,      ,00000, ,    , ,   ;N58391628,W156345090,0000;
RWY:RW08 ,00000,      ,00000, ,    , ,   ;N58384694,W156353938,0000;
RWY:RW12 ,00000,      ,00000, ,    , ,   ;N58391269,W156351590,0000;
RWY:RW16 ,00000,      ,00000, ,    , ,   ;N58392542,W156342307,0000;
RWY:RW19 ,00000,      ,00000, ,    , ,   ;N58384270,W156343904,0000;
RWY:RW25 ,00000,      ,00000, ,    , ,   ;N58391749,W156342150,0000;
RWY:RW26 ,00000,      ,00000, ,    , ,   ;N58384672,W156344269,0000;
RWY:RW30 ,00000,      ,00000, ,    , ,   ;N58383877,W156343745,0000;
RWY:RW34 ,00000,      ,00000, ,    , ,   ;N58391171,W156342035,0000;
