SID:010,2,AMAK2E,RW11,VES,LE,D, ,V   , ,   ,CF, ,VES,LE,D, ,      ,0000,0000,1090,0010, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,AMAK2E,RW11, , , , ,    , ,   ,CD, ,VES,LE,D, ,      ,    ,    ,1090,0077, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,AMAK2E,RW11, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,0500,    , ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:040,2,AMAK2E,RW11,XIDRA,LE,P,C,E   , ,   ,CF, ,VES,LE,D, ,      ,0940,0160,0940,0060,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,AMAK2E,RW11,AMAKA,LE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,AMAK2F,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2890,    ,+,00820,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:015,2,AMAK2F,RW29,VES,LE,D, ,V   , ,   ,FD, ,VES,LE,D, ,      ,0000,0000,2890,0075, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,AMAK2F,RW29, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2890,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,AMAK2F,RW29,D083J,LE,P,C,E   ,R,   ,AF, ,VES,LE,D, ,      ,0830,0100,2890,    , ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:030,2,AMAK2F,RW29,XIDRA,LE,P,C,E   , ,   ,CF, ,VES,LE,D, ,      ,0940,0160,0940,0060,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,AMAK2F,RW29,AMAKA,LE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,KUVA1C,RW11,AV,LE,D,B,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:030,2,KUVA1C,RW11,AV,LE,D,B,E   , ,   ,FA, ,VES,LE,D, ,      ,1089,0035,1090,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KUVA1C,RW11,AST,LE,D,B,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,KUVA1C,RW11,KUVAN,LE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL105,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KUVA1D,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2890,    ,+,00820,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,KUVA1D,RW29,AV,LE,D,B,E   , ,   ,FA, ,VES,LE,D, ,      ,1089,0035,2890,    ,+,03000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KUVA1D,RW29,AST,LE,D,B,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KUVA1D,RW29,KUVAN,LE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL105,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KUVA2A,RW11,VES,LE,D, ,V   , ,   ,CF, ,VES,LE,D, ,      ,0000,0000,1090,0010, ,     ,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:020,2,KUVA2A,RW11, , , , ,    , ,   ,CD, ,VES,LE,D, ,      ,    ,    ,1090,0077, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,KUVA2A,RW11, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1090,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KUVA2A,RW11,D197J,LE,P,C,E   ,R,   ,AF, ,VES,LE,D, ,      ,1970,0100,1090,    , ,     ,     ,     ,-,240,    ,   , , , , , , , , ;
SID:040,2,KUVA2A,RW11,BASUK,LE,P,C,E   , ,   ,CF, ,VES,LE,D, ,      ,2080,0160,2080,0060,+,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:045,2,KUVA2A,RW11,KUVAN,LE,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL105,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KUVA2B,RW29, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2890,    ,+,00820,     ,06000, ,   ,    ,   , , , , , , , , ;
SID:015,2,KUVA2B,RW29,VES,LE,D, ,V   , ,   ,FD, ,VES,LE,D, ,      ,0000,0000,2890,0075, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,KUVA2B,RW29, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,2890,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
