SID:010,5,ARTU5C,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1170,    ,+,02010,     ,04570, ,   ,    ,   ,UIBB,UI,P,A, , , , ;
SID:020,5,ARTU5C,RW12,BB023,UI,P,C,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,265,    ,   , , , , , , , , ;
SID:030,5,ARTU5C,RW12,BB025,UI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ARTU5C,RW12,BB032,UI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ARTU5C,RW12,BB035,UI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ARTU5C,RW12,BB007,UI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ARTU5C,RW12,ARTUL,UI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL180,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARTU5D,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2970,    ,+,02010,     ,04570, ,   ,    ,   ,UIBB,UI,P,A, , , , ;
SID:020,5,ARTU5D,RW30,BB049,UI,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ARTU5D,RW30,BB053,UI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ARTU5D,RW30,BB054,UI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ARTU5D,RW30,ARTUL,UI,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL180,FL100,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ARTU5E,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1170,    ,+,02010,     ,04570, ,   ,    ,   ,UIBB,UI,P,A, , , , ;
SID:020,5,ARTU5E,RW12,BB023,UI,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ARTU5E,RW12,BB068,UI,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,215,    ,   , , , , , , , , ;
