APPCH:010,A,VOR-A,AZO,AZO,K5,D, ,VE A,R,   ,HF, , , , , ,      ,    ,    ,1870,T010,+,02600,     ,18000, ,   ,    ,   , , , , , ,0,N,C;
APPCH:010,S,VOR-A, ,AZO,K5,D, ,V  I, ,   ,IF, ,AZO,K5,D, ,      ,0000,0000,    ,    ,+,02600,     ,18000, ,   ,    ,   , , , , , ,0,N,C;
APPCH:020,S,VOR-A, ,RILLE,K5,P,C,E  F, ,   ,CF, ,AZO,K5,D, ,      ,1870,0120,1870,0120,+,02600,     ,     , ,   ,    ,   ,AZO,K5,D, , ,0,N,C;
APPCH:030,S,VOR-A, ,MAFZA,K5,P,C,EY M, ,   ,CF, ,AZO,K5,D, ,      ,1870,0166,1870,0046, ,01320,     ,     , ,   , 000,   , , , , , ,0,N,C;
APPCH:040,S,VOR-A, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,1870,    ,+,01223,     ,     , ,   ,    ,   , , , , , ,0,N,C;
APPCH:050,S,VOR-A, , , , , ,    ,L,   ,VI,Y, , , , ,      ,    ,    ,3180,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0,N,C;
APPCH:060,S,VOR-A, ,RILLE,K5,P,C,EY  , ,   ,CF, ,AZO,K5,D, ,      ,1870,0120,0070,0025,+,02600,     ,     , ,   ,    ,   , , , , , ,0,N,C;
APPCH:070,S,VOR-A, ,RILLE,K5,P,C,EE  ,R,   ,HM, , , , , ,      ,    ,    ,1870,T010,+,02600,     ,     , ,   ,    ,   , , , , , ,0,N,C;
RWY:RW05 ,     ,      ,00823,D,    , ,   ;N41572170,W085354336,0000;
RWY:RW09 ,     ,      ,00820,D,    , ,   ;N41573757,W085360440,0000;
RWY:RW23 ,     ,      ,00821,D,    , ,   ;N41574077,W085351811,0000;
RWY:RW27 ,     ,      ,00823,R,    , ,   ;N41573776,W085351147,0000;
