SID:010,2,BUSI4S,RW15L, , , , ,    , ,   ,CD, ,SN,LF,D, ,      ,    ,    ,1470,0057, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:020,2,BUSI4S,RW15L,D057M,LF,P,C,EY  ,L,   ,CF, ,MOU,LF,D, ,      ,1190,0365,0570,0110, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,BUSI4S,RW15L,BUSIL,LF,E,A,EEC , ,   ,CF, ,MOU,LF,D, ,      ,1184,0516,1170,0150, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,BUSI5N,RW33R, , , , ,    , ,   ,CD, ,MOU,LF,D, ,      ,    ,    ,3270,0170, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:030,2,BUSI5N,RW33R,BUSIL,LF,E,A,EEC ,R,   ,CF,Y,MOU,LF,D, ,      ,1184,0516,1170,0350, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LESP4S,RW15L, , , , ,    , ,   ,CD, ,SN,LF,D, ,      ,    ,    ,1470,0022, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:020,2,LESP4S,RW15L, , , , ,    , ,   ,CD, ,SN,LF,D, ,      ,    ,    ,2150,0113, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LESP4S,RW15L,LESPI,LF,E,A,EEC , ,   ,CF, ,MOU,LF,D, ,      ,1591,0381,1570,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,2,LESP5N,RW33R, , , , ,    , ,   ,CD, ,MOU,LF,D, ,      ,    ,    ,3270,0180, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
SID:030,2,LESP5N,RW33R, , , , ,    ,L,   ,CI, , , , , ,      ,    ,    ,2190,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,LESP5N,RW33R,LESPI,LF,E,A,EEC , ,   ,CF, ,CFA,LF,D, ,      ,0573,0376,1570,0220, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,MOU4S,RW15L, , , , ,    , ,   ,CD, ,SN,LF,D, ,      ,    ,    ,1470,0022, ,     ,     ,05000, ,   ,    ,   , , , , , , , , ;
