SID:010,5,CEL6S,RW27R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2710,    ,+,00600,     ,05000, ,   ,    ,   ,EDDV,ED,P,A, , , , ;
SID:020,5,CEL6S,RW27R,DV250,ED,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,CEL6S,RW27R,DV251,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,CEL6S,RW27R,DV253,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,CEL6S,RW27R,CEL,ED,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,CEL6Y,RW09L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0910,    ,+,00600,     ,05000, ,   ,    ,   ,EDDV,ED,P,A, , , , ;
SID:020,5,CEL6Y,RW09L,DV102,ED,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,CEL6Y,RW09L,CEL,ED,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,CEL8F,RW27L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2710,    ,+,00600,     ,05000, ,   ,    ,   ,EDDV,ED,P,A, , , , ;
SID:020,5,CEL8F,RW27L,DV200,ED,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,CEL8F,RW27L,DV201,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,CEL8F,RW27L,DV253,ED,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,CEL8F,RW27L,CEL,ED,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,CEL9G,RW09R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0910,    ,+,00600,     ,05000, ,   ,    ,   ,EDDV,ED,P,A, , , , ;
SID:020,5,CEL9G,RW09R,DV154,ED,P,C,E   , ,   ,CF, ,WRB,ED,D, ,      ,0257,0641,0900,0070, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,CEL9G,RW09R,CEL,ED,D,B,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MULD5Y,RW09L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0910,    ,+,00600,     ,05000, ,   ,    ,   ,EDDV,ED,P,A, , , , ;
SID:020,5,MULD5Y,RW09L,HA,ED,D,B,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,MULD5Y,RW09L,MULDO,ED,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,MULD6G,RW09R, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0910,    ,+,00600,     ,05000, ,   ,    ,   ,EDDV,ED,P,A, , , , ;
SID:020,5,MULD6G,RW09R,PIGIR,ED,P,C,E   , ,   ,CF, ,WRB,ED,D, ,      ,0317,0679,0910,0150, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,MULD6G,RW09R,MULDO,ED,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
