SID:010,2,KAM1B,RW16L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1610,    ,+,00460,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:020,2,KAM1B,RW16L,AML,LG,D,B,E   , ,   ,CF, ,KAM,LG,D, ,      ,3189,0534,1600,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KAM1B,RW16L,KAM27,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,KAM1B,RW16L,KAM,LG,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,KFN1J,RW16L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1610,    ,+,00460,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:020,2,KFN1J,RW16L,AML,LG,D,B,EY  , ,   ,CF, ,KFN,LG,D, ,      ,1126,0448,1600,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,KFN1J,RW16L, , , , ,    ,R,   ,CI,Y, , , , ,      ,    ,    ,3380,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:040,2,KFN1J,RW16L,D113O,LG,P,C,E   , ,   ,CF, ,KFN,LG,D, ,      ,1130,0150,2930,0250, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,2,KFN1J,RW16L,KFN,LG,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,TRL1D,RW16L, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1610,    ,+,00460,     ,08000, ,   ,    ,   ,ARA,LG,D, , , , , ;
SID:020,2,TRL1D,RW16L,AML,LG,D,B,EY  , ,   ,CF, ,TRL,LG,D, ,      ,2925,0523,1600,0080, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,2,TRL1D,RW16L, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,0810,    , ,     ,     ,     ,-,210,    ,   , , , , , , , , ;
SID:030,2,TRL1D,RW16L,TRL32,LG,P,C,E   , ,   ,CF, ,TRL,LG,D, ,      ,2925,0320,1110,0170, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,2,TRL1D,RW16L,D291I,LG,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
