SID:010,1,AD4,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0420,    ,+,00900,     ,10000, ,   ,    ,   ,AD,YM,D, , , , , ;
SID:020,1,AD4,RW05, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,0420,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,AD4,RW12, , , , ,    , ,   ,CD, ,AD,YM,D, ,      ,    ,    ,1150,0010,+,00500,     ,10000, ,   ,    ,   ,AD,YM,D, , , , , ;
SID:020,1,AD4,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1150,    ,+,00500,     ,     ,-,175,    ,   , , , , , , , , ;
SID:030,1,AD4,RW12, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,1800,    ,+,03300,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,AD4,RW23, , , , ,    , ,   ,CD, ,AD,YM,D, ,      ,    ,    ,2220,0010,+,00600,     ,10000, ,   ,    ,   ,AD,YM,D, , , , , ;
SID:020,1,AD4,RW23, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2220,    ,+,00600,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,AD4,RW23, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2220,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,AD4,RW30, , , , ,    , ,   ,CD, ,AD,YM,D, ,      ,    ,    ,2950,0010,+,00500,     ,10000, ,   ,    ,   ,AD,YM,D, , , , , ;
SID:020,1,AD4,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2950,    ,+,00500,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,AD4,RW30, , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,2950,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AREPA1,RW05,MOPRI,YM,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,10000, ,   ,    ,   ,YPAD,YM,P,A, , , , ;
SID:020,4,AREPA1,RW05,SARAG,YM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AREPA1,RW05,DOPTI,YM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AREPA1,RW05,RUPEL,YM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AREPA1,RW05,AREPA,YM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AREPA1,RW23,BOVPU,YM,E,A,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,10000, ,   ,    ,   ,YPAD,YM,P,A, , , , ;
SID:020,4,AREPA1,RW23,KEEFO,YM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AREPA1,RW23,RUPEL,YM,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AREPA1,RW23,AREPA,YM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AVDEN1,RW05,KNOBL,YM,E,A,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,YPAD,YM,P,A, , , , ;
SID:020,4,AVDEN1,RW05, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0420,    ,+,01700,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AVDEN1,RW05,ROGGS,YM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AVDEN1,RW05,AVDEN,YM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,AVDEN1,RW23,COLPY,YM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,02500,     ,10000, ,   ,    ,   ,YPAD,YM,P,A, , , , ;
SID:020,4,AVDEN1,RW23,LEMAT,YM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,AVDEN1,RW23,MORPH,YM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,AVDEN1,RW23,CLARY,YM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,4,AVDEN1,RW23,KIKOV,YM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL140,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,AVDEN1,RW23,RIVGO,YM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,4,AVDEN1,RW23,AVDEN,YM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,BENDO3,RW05,KNOBL,YM,E,A,EY  , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,10000, ,   ,    ,   ,YPAD,YM,P,A, , , , ;
