STAR:010,2,ANTA3B,RW16,ANTAL,LR,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,BCU,LR,D, , , , , ;
STAR:020,2,ANTA3B,RW16,DORIM,LR,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,ANTA3B,RW16,CN16,LR,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,ANTA4A,RW34,ANTAL,LR,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,BCU,LR,D, , , , , ;
STAR:020,2,ANTA4A,RW34,BCU,LR,D, ,V  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,ANTA4A,RW34,D109I,LR,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:035,2,ANTA4A,RW34,D122K,LR,P,C,EY  ,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,2,ANTA4A,RW34,CF34,LR,P,C,EE  ,R,   ,CF, ,BCU,LR,D, ,      ,1342,0079,3400,0010, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,2,KENU1A,RW34,KENUX,LR,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   ,BCU,LR,D, , , , , ;
STAR:020,2,KENU1A,RW34,BCU,LR,D, ,V  H, ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,2,KENU1A,RW34,D109I,LR,P,C,EY  ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
