SID:010,2,ATKA1M,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0100,    ,+,01650,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,ATKA1M,RW01, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,3150,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ATKA1M,RW01,ATKAM,UW,E,A,EEC , ,   ,CF, ,RG,UW,D, ,      ,2736,1130,3450,0200, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ATKA2L,RW19, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1900,    ,+,01620,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,ATKA2L,RW19,LB,UW,P,N,E   ,L,   ,CF,Y,RG,UW,D, ,      ,2630,1068,3350,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,ATKA2L,RW19,ATKAM,UW,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ATKAM1,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0100,    ,+,01650,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,ATKAM1,RW01,ATKAM,UW,E,A,EEC , ,   ,CF, ,RG,UW,D, ,      ,2736,1130,3390,0210, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,ATKAM2,RW19, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1900,    ,+,01620,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,ATKAM2,RW19,ATKAM,UW,E,A,EEC ,R,   ,CF,Y,RG,UW,D, ,      ,2736,1130,3510,0240, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DIDU1M,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0100,    ,+,01650,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,DIDU1M,RW01,MC,UW,P,N,E   ,L,   ,CF,Y,RG,UW,D, ,      ,2603,1089,1540,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DIDU1M,RW01,DIDUN,UW,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DIDU2L,RW19, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1900,    ,+,01620,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,DIDU2L,RW19, , , , ,    , ,   ,CI, , , , , ,      ,    ,    ,1340,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,DIDU2L,RW19,DIDUN,UW,E,A,EEC , ,   ,CF, ,RG,UW,D, ,      ,2500,1068,1640,0170, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DIDUN1,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0100,    ,+,01650,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,DIDUN1,RW01,DIDUN,UW,E,A,EEC ,R,   ,CF,Y,RG,UW,D, ,      ,2500,1068,1700,0220, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,DIDUN2,RW19, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1900,    ,+,01620,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,DIDUN2,RW19,DIDUN,UW,E,A,EEC , ,   ,CF, ,RG,UW,D, ,      ,2500,1068,1550,0190, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,FARD1M,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0100,    ,+,01650,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,FARD1M,RW01,MC,UW,P,N,EY  ,L,   ,CF,Y,RG,UW,D, ,      ,2603,1089,1540,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,FARD1M,RW01,FARDA,UW,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,FARD2L,RW19, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1900,    ,+,01620,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,FARD2L,RW19,FARDA,UW,E,A,EEC , ,   ,CF, ,RG,UW,D, ,      ,2517,1175,1900,0200, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,FARDA1,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0100,    ,+,01650,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,FARDA1,RW01,FARDA,UW,E,A,EEC ,R,   ,CF,Y,RG,UW,D, ,      ,2517,1175,1970,0230, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,FARDA2,RW19, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1900,    ,+,01620,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,FARDA2,RW19,FARDA,UW,E,A,EEC , ,   ,CF, ,RG,UW,D, ,      ,2517,1175,1890,0210, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LEKB1M,RW01, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,0100,    ,+,01650,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
SID:020,2,LEKB1M,RW01,MC,UW,P,N,EY  ,R,   ,CF,Y,RG,UW,D, ,      ,2603,1089,2280,0040, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,2,LEKB1M,RW01,LEKBO,UW,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,LEKB2L,RW19, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1900,    ,+,01620,     ,02960, ,   ,    ,   ,UWKB,UW,P,A, , , , ;
