APPCH:050,R,R31-Q, ,SAYNE,K1,P,C,E   , ,010,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:060,R,R31-Q, ,NEMRY,K1,P,C,E   , ,010,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     ,-,185,    ,   , , , , , ,A,W,S;
APPCH:070,R,R31-Q, ,SOLDE,K1,E,A,EY  , ,010,TF, , , , , ,      ,    ,    ,    ,    ,+,10700,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:080,R,R31-Q, ,SOLDE,K1,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,0920,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,A,W,S;
APPCH:010,A,R31-X,MENIN,MENIN,K1,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R31-X,MENIN,OREYE,K1,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R31-X,MENIN,JUNOL,K1,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R31-X,SOLDE,SOLDE,K1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R31-X,SOLDE,PRESN,K1,E,A,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R31-X,SOLDE,JUNOL,K1,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R31-X, ,JUNOL,K1,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R31-X, ,GUNKS,K1,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,3200,0050,+,07400,     ,     , ,   ,    ,   ,CAKIR,K1,P,C, ,A,J,S;
PRDAT:A,        LP, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R31-X, ,CAKIR,K1,P,C,EY M, ,   ,TF, , , , , ,      ,    ,    ,3200,0051, ,05500,     ,     , ,   ,-350,   , , , , , ,A,J,S;
APPCH:040,R,R31-X, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3200,    ,+,05720,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R31-X, ,JOTBO,K1,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:060,R,R31-X, ,WOGAR,K1,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,2310,0066, ,     ,     ,     ,-,185,    ,   , , , , , ,A,J,S;
APPCH:070,R,R31-X, ,PRESN,K1,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,1470,0207,+,10500,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:080,R,R31-X, ,PRESN,K1,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,0100,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R31-Y,MENIN,MENIN,K1,E,A,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R31-Y,MENIN,OREYE,K1,P,C,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R31-Y,MENIN,JUNOL,K1,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,A,R31-Y,SOLDE,SOLDE,K1,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,A,R31-Y,SOLDE,PRESN,K1,E,A,E  A, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10400,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:030,A,R31-Y,SOLDE,JUNOL,K1,P,C,EE B, ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08600,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:010,R,R31-Y, ,JUNOL,K1,P,C,E  I, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,08600,     ,18000, ,   ,    ,   , , , , , ,A,J,S;
APPCH:020,R,R31-Y, ,MUCID,K1,P,C,E  F, ,   ,TF, , , , , ,      ,    ,    ,3200,0034,+,08000,     ,     , ,   ,    ,   ,CAKIR,K1,P,C, ,A,J,S;
PRDAT:A,        LP, ,          ,A,      LNAV, ,   , ,   , ,   , ,   ,J,S;
APPCH:030,R,R31-Y, ,CAKIR,K1,P,C,EY M, ,   ,TF, , , , , ,      ,    ,    ,3200,0067, ,05500,     ,     , ,   ,-350,   , , , , , ,A,J,S;
APPCH:040,R,R31-Y, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,3200,    ,+,05720,     ,     , ,   ,    ,   , , , , , ,A,J,S;
APPCH:050,R,R31-Y, ,PRESN,K1,E,A,EY  ,L,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,08700,     ,     ,-,185,    ,   , , , , , ,A,J,S;
APPCH:060,R,R31-Y, ,PRESN,K1,E,A,EE H,R,   ,HM, , , , , ,      ,    ,    ,0100,0070, ,     ,     ,     , ,   ,    ,   , , , , , ,A,J,S;
RWY:RW13 ,     ,      ,05309, ,    , ,   ;N43303034,W114180023,1701;
RWY:RW31 ,     ,      ,05262, ,    , ,   ;N43294316,W114171448,0000;
